"GeneCards - GeneCards - Search results for ""acute ischemic stroke"""

Copyright LifeMap Sciences Inc. May not be used for any non-academic research purpose without explicit written permission from LifeMap Sciences.

Symbol,Name,Type,Relevance Score,Knowledge
PLAU,"Plasminogen Activator, Urokinase",Protein Coding,21.936646,99
CRP,C-Reactive Protein,Protein Coding,21.152647,87
MMP9,Matrix Metallopeptidase 9,Protein Coding,17.409672,100
PLAT,"Plasminogen Activator, Tissue Type",Protein Coding,14.745126,92
NFKB1,Nuclear Factor Kappa B Subunit 1,Protein Coding,10.322936,100
ALB,Albumin,Protein Coding,10.213423,100
BDNF,Brain Derived Neurotrophic Factor,Protein Coding,8.27195,100
ENO1,Enolase 1,Protein Coding,7.8742743,92
IL6,Interleukin 6,Protein Coding,7.739003,93
H19,H19 Imprinted Maternally Expressed Transcript,RNA Gene,7.624271,66
ADAMTS13,ADAM Metallopeptidase With Thrombospondin Type 1 Motif 13,Protein Coding,7.103341,97
MIR128-2,MicroRNA 128-2,RNA Gene,6.510816,55
S100B,S100 Calcium Binding Protein B,Protein Coding,6.4530697,88
CERNA3,Competing Endogenous LncRNA 3 For MiR-645,RNA Gene,6.2333703,52
AVP,Arginine Vasopressin,Protein Coding,6.224776,89
LINC02605,Long Intergenic Non-Protein Coding RNA 2605,RNA Gene,6.2150726,50
NPPB,Natriuretic Peptide B,Protein Coding,6.214533,74
CST3,Cystatin C,Protein Coding,6.0733933,79
VEGFA,Vascular Endothelial Growth Factor A,Protein Coding,5.9507003,97
MEG3,Maternally Expressed 3,RNA Gene,5.845,67
MMP2,Matrix Metallopeptidase 2,Protein Coding,5.749848,100
PWAR1,Prader Willi/Angelman Region RNA 1,RNA Gene,5.5468025,48
CYP2C19,Cytochrome P450 Family 2 Subfamily C Member 19,Protein Coding,5.4051743,92
TJP1,Tight Junction Protein 1,Protein Coding,5.373794,96
MIR451A,MicroRNA 451a,RNA Gene,5.2970157,60
JAK2,Janus Kinase 2,Protein Coding,5.2918544,100
SERPINE1,Serpin Family E Member 1,Protein Coding,5.2394767,99
SNHG14,Small Nucleolar RNA Host Gene 14,RNA Gene,5.062072,70
MIAT,Myocardial Infarction Associated Transcript,RNA Gene,5.062072,60
APOA1,Apolipoprotein A1,Protein Coding,5.007799,100
