"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Glycine receptor subunit alpha-1","GLRA1","P23415","CHEMBL5845","Ligand-gated ion channel","0.9285033668861793","38 /  7     "
"Glycine receptor subunit alpha-2","GLRA2","P23416","CHEMBL5871","Ligand-gated ion channel","0.9281293277882243","5 /  5     "
"Platelet-activating factor receptor","PTAFR","P25105","CHEMBL250","Family A G protein-coupled receptor","0.9273758288310694","200 /  6     "
"Beta-glucuronidase","GUSB","P08236","CHEMBL2728","Hydrolase","0.9273758288310694","89 /  1     "
"Kappa-type opioid receptor","OPRK1","P41145","CHEMBL237","Family A G protein-coupled receptor","0.42465054779412786","2311 /  63     "
"Protein kinase C alpha type","PRKCA","P17252","CHEMBL299","Kinase","0.32540390698929317","727 /  206     "
"Tyrosine-protein phosphatase non-receptor type 1","PTPN1","P18031","CHEMBL335","Phosphatase","0.30134421949092244","647 /  40     "
"Protein phosphatase 1A","PPM1A","P35813","CHEMBL2437","Phosphatase","0.27680430072572254","7 /  1     "
"Toll-like receptor 4","TLR4","O00206","CHEMBL5255","Toll-like and Il-1 receptors","0.23646426922557276","76 /  5     "
"Toll-like receptor 2","TLR2","O60603","CHEMBL4163","Toll-like and Il-1 receptors","0.21884785891477815","61 /  1     "
"Protein kinase C theta type","PRKCQ","Q04759","CHEMBL3920","Kinase","0.19950973963636306","673 /  16     "
"ATP-dependent translocase ABCB1","ABCB1","P08183","CHEMBL4302","Primary active transporter","0.19330698356253556","999 /  97     "
"Protein kinase C delta type","PRKCD","Q05655","CHEMBL2996","Kinase","0.18384120600480286","449 /  43     "
"Mu-type opioid receptor","OPRM1","P35372","CHEMBL233","Family A G protein-coupled receptor","0.18186176174553179","2345 /  13     "
"Protein kinase C epsilon type","PRKCE","Q02156","CHEMBL3582","Kinase","0.1747448237576917","233 /  36     "
"Transcription factor Jun","JUN","P05412","CHEMBL4977","Transcription factor","0.15651147391566908","49 /  4     "
"M-phase inducer phosphatase 2","CDC25B","P30305","CHEMBL4804","Phosphatase","0.13454618818994749","125 /  14     "
"Kir3.1/Kir3.4","N/A","P48549&P48544","CHEMBL3038488","Voltage-gated ion channel","0.12377361919001177","195 /  6     "
"Protein kinase C eta type","PRKCH","P24723","CHEMBL3616","Kinase","0.11154016540784273","125 /  12     "
"Protein kinase C beta type","PRKCB","P05771","CHEMBL3045","Kinase","0.11154016540784273","221 /  15     "
"Protein kinase C gamma type","PRKCG","P05129","CHEMBL2938","Kinase","0.11154016540784273","92 /  12     "
"Toll-like receptor 9","TLR9","Q9NR96","CHEMBL5804","Toll-like and Il-1 receptors","0.10044000980976622","1167 /  2     "
"Bromodomain-containing protein 4","BRD4","O60885","CHEMBL1163125","Reader","0.0952836841607818","5409 /  10     "
"Low molecular weight phosphotyrosine protein phosphatase","ACP1","P24666","CHEMBL4903","Phosphatase","0.08748482763328126","105 /  3     "
"Squalene synthase","FDFT1","P37268","CHEMBL3338","Transferase","0.08107903666266834","93 /  31     "
"Signal transducer and activator of transcription 3","STAT3","P40763","CHEMBL4026","Transcription factor","0.07655119133150971","259 /  12     "
"Heat shock protein HSP 90-alpha","HSP90AA1","P07900","CHEMBL3880","Other cytosolic protein","0.07547426803000402","583 /  12     "
"Voltage-gated inwardly rectifying potassium channel KCNH2","KCNH2","Q12809","CHEMBL240","Voltage-gated ion channel","0.06107636981046718","3763 /  2     "
"Serine/threonine-protein phosphatase PP1-alpha catalytic subunit","PPP1CA","P62136","CHEMBL2164","Phosphatase","0.056524209509558665","40 /  3     "
"Galectin-8","LGALS8","O00214","CHEMBL5475","Other cytosolic protein","0.05602440783506013","20 /  7     "
"Glutathione S-transferase Mu 1","GSTM1","P09488","CHEMBL2081","Transferase","0.054922321607405095","1 /  1     "
"Synaptojanin-2","SYNJ2","O15056","CHEMBL4523129","Hydrolase","0.0508799856193665","9 /  10     "
"Serine/threonine-protein phosphatase 5","PPP5C","P53041","CHEMBL3425389","Phosphatase","0.04579144560927851","8 /  5     "
"Bifunctional epoxide hydrolase 2","EPHX2","P34913","CHEMBL2409","Protease","0.04429686022465398","977 /  29     "
"Serine/threonine-protein phosphatase","PPP5C","Q9BPW0","CHEMBL1293265","Phosphatase","0.04056674113819845","16 /  3     "
"NACHT, LRR and PYD domains-containing protein 3","NLRP3","Q96P20","CHEMBL1741208","Unclassified protein","0.03849158893231731","365 /  15     "
"Isocitrate dehydrogenase [NADP] cytoplasmic","IDH1","O75874","CHEMBL2007625","Oxidoreductase","0.03680996469909607","1640 /  2     "
"Prostaglandin G/H synthase 2","PTGS2","P35354","CHEMBL230","Oxidoreductase","0.03672960606140478","1648 /  13     "
"Zinc finger protein GLI1","GLI1","P08151","CHEMBL5461","Transcription factor","0.03621675080903136","12 /  5     "
"11-beta-hydroxysteroid dehydrogenase 1","HSD11B1","P28845","CHEMBL4235","Oxidoreductase","0.03478642045360664","1400 /  15     "
"Serine/threonine-protein phosphatase PP1-gamma catalytic subunit","PPP1CC","P36873","CHEMBL4438","Phosphatase","0.032843474985534485","5 /  6     "
"Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform","PPP2CA","P67775","CHEMBL4703","Phosphatase","0.032136747754100595","2 /  6     "
"Tissue factor pathway inhibitor 2","TFPI2","P48307","CHEMBL6066240","Unclassified protein","0.032136747754100595","13 /  6     "
"Protein phosphatase 1B","PPM1B","O75688","CHEMBL2845","Phosphatase","0.032136747754100595","7 /  4     "
"Eukaryotic initiation factor 4A-I","EIF4A1","P60842","CHEMBL2052028","Hydrolase","0.031916970815881386","38 /  6     "
"Bile salt export pump","ABCB11","O95342","CHEMBL6020","Primary active transporter","0.03047279458172723","11 /  1     "
"Nuclear factor erythroid 2-related factor 2","NFE2L2","Q16236","CHEMBL1075094","Transcription factor","0.025279495441071893","280 /  1     "
"Vascular endothelial growth factor receptor 2","KDR","P35968","CHEMBL279","Kinase","0.02095787742223448","4675 /  1     "
"Carbonic anhydrase 9","CA9","Q16790","CHEMBL3594","Lyase","0.02025528640785807","3336 /  37     "
"Carbonic anhydrase 2","CA2","P00918","CHEMBL205","Lyase","0.02025528640785807","4587 /  40     "
"Carbonic anhydrase 1","CA1","P00915","CHEMBL261","Lyase","0.02025528640785807","3822 /  36     "
"Carbonic anhydrase 12","CA12","O43570","CHEMBL3242","Lyase","0.02025528640785807","2750 /  33     "
"Adenylate cyclase type 1","ADCY1","Q08828","CHEMBL2899","Lyase","0.020253767751780127","72 /  42     "
"Glucocorticoid receptor","NR3C1","P04150","CHEMBL2034","Nuclear receptor","0.019053769281628618","1435 /  37     "
"Adenylate cyclase type 8","ADCY8","P40145","CHEMBL2960","Lyase","0.018646661335451325","13 /  1     "
"Solute carrier family 2, facilitated glucose transporter member 1","SLC2A1","P11166","CHEMBL2535","Electrochemical transporter","0.018646661335451325","75 /  8     "
"Tyrosine-protein phosphatase non-receptor type 11","PTPN11","Q06124","CHEMBL3864","Phosphatase","0.016437260133597222","1150 /  3     "
"Galectin-4","LGALS4","P56470","CHEMBL1671608","Other cytosolic protein","0.01621055093723081","9 /  4     "
"Galectin-3","LGALS3","P17931","CHEMBL4531","Other cytosolic protein","0.01621055093723081","803 /  7     "
"NAD-dependent protein deacetylase sirtuin-2","SIRT2","Q8IXJ6","CHEMBL4462","Eraser","0.014970634496938785","341 /  1     "
"Cyclin-dependent kinase 1/cyclin B1","N/A","P06493&P14635","CHEMBL1907602","Kinase","0.014381054012333718","299 /  2     "
"Gamma-secretase","N/A","Q96BI3&Q9NZ42&Q8WW43&P49768&Q92542&P49810","CHEMBL2094135","Protease","0.014300985805207767","1360 /  11     "
"Neurogenic locus notch homolog protein 1","NOTCH1","P46531","CHEMBL2146346","Membrane receptor","0.013548548714324394","56 /  1     "
"Galectin-9","LGALS9","O00182","CHEMBL5474","Other cytosolic protein","0.01048135887022485","32 /  1     "
"Matrix metalloproteinase-9","MMP9","P14780","CHEMBL321","Protease","0.010461171426719105","1703 /  1     "
"Serine-protein kinase ATM","ATM","Q13315","CHEMBL3797","Kinase","0.010243920967296156","379 /  1     "
"Prostaglandin E synthase","PTGES","O14684","CHEMBL5658","Isomerase","0.00974998904946754","714 /  3     "
"Beta-secretase 1","BACE1","P56817","CHEMBL4822","Protease","0.009191872214594644","5977 /  9     "
"Metabotropic glutamate receptor 2","GRM2","Q14416","CHEMBL5137","Family C G protein-coupled receptor","0.008552468319488069","431 /  6     "
"Mineralocorticoid receptor","NR3C2","P08235","CHEMBL1994","Nuclear receptor","0.008513603655212308","456 /  11     "
"Progesterone receptor","PGR","P06401","CHEMBL208","Nuclear receptor","0.008513603655212308","717 /  28     "
"Amine oxidase [flavin-containing] B","MAOB","P27338","CHEMBL2039","Oxidoreductase","0.008433875398486081","1861 /  2     "
"Liver carboxylesterase 1","CES1","P23141","CHEMBL2265","Hydrolase","0.008179565907760417","109 /  1     "
"Cocaine esterase","CES2","O00748","CHEMBL3180","Hydrolase","0.008179565907760417","60 /  5     "
"Peroxisome proliferator-activated receptor gamma","PPARG","P37231","CHEMBL235","Nuclear receptor","0.00810652180239497","1651 /  7     "
"Prothrombin","F2","P00734","CHEMBL204","Protease","0.007545836132630692","2223 /  11     "
"Bile acid receptor","NR1H4","Q96RI1","CHEMBL2047","Nuclear receptor","0.007067065106007656","1286 /  24     "
"M-phase inducer phosphatase 1","CDC25A","P30304","CHEMBL3775","Phosphatase","0.00705967786402393","68 /  9     "
"Prolyl endopeptidase","PREP","P48147","CHEMBL3202","Protease","0.006766440558347532","188 /  1     "
"Cytochrome P450 1A2","CYP1A2","P05177","CHEMBL3356","Cytochrome P450","0.0063779005754671","55 /  1     "
"Nicotinamide N-methyltransferase","NNMT","P40261","CHEMBL2346486","Transferase","0.006164085886755534","89 /  1     "
"Sodium-dependent dopamine transporter","SLC6A3","Q01959","CHEMBL238","Electrochemical transporter","0.0060079737713489584","2019 /  18     "
"Serine/threonine-protein phosphatase 2A activator","PTPA","Q15257","CHEMBL2505","Phosphatase","0.005951057513206307","0 /  1     "
"Carbonic anhydrase 14","CA14","Q9ULX7","CHEMBL3510","Lyase","0.005908202983255396","414 /  7     "
"3-hydroxy-3-methylglutaryl-coenzyme A reductase","HMGCR","P04035","CHEMBL402","Oxidoreductase","0.005673029777486282","170 /  15     "
"Aldo-keto reductase family 1 member B1","AKR1B1","P15121","CHEMBL1900","Oxidoreductase","0.005606889743424289","436 /  4     "
"Methionine aminopeptidase 2","METAP2","P50579","CHEMBL3922","Protease","0.005586986062762506","599 /  10     "
"Protein O-GlcNAcase","OGA","O60502","CHEMBL5921","Hydrolase","0.005368046908210473","629 /  1     "
"Androgen receptor","AR","P10275","CHEMBL1871","Nuclear receptor","0.00525536447823075","958 /  20     "
"Acetylcholinesterase","ACHE","P22303","CHEMBL220","Hydrolase","0.005102308147565382","2513 /  15     "
"Cholinesterase","BCHE","P06276","CHEMBL1914","Hydrolase","0.00506781287871656","1445 /  8     "
"Sodium-dependent noradrenaline transporter","SLC6A2","P23975","CHEMBL222","Electrochemical transporter","0.004963280290197475","2288 /  2     "
"Solute carrier family 22 member 1","SLC22A1","O15245","CHEMBL5685","Electrochemical transporter","0.004921522032792922","15 /  1     "
"Mitogen-activated protein kinase kinase kinase 5","MAP3K5","Q99683","CHEMBL5285","Kinase","0.004907894991567373","684 /  2     "
"Coagulation factor X","F10","P00742","CHEMBL244","Protease","0.004864218436559113","2698 /  9     "
"Estrogen receptor beta","ESR2","Q92731","CHEMBL242","Nuclear receptor","0.004711724138182137","187 /  1     "
"Kelch-like ECH-associated protein 1","KEAP1","Q14145","CHEMBL2069156","Unclassified protein","0.004625929233252459","144 /  3     "
"Excitatory amino acid transporter 1","SLC1A3","P43003","CHEMBL3085","Electrochemical transporter","0.004521779948732507","41 /  5     "
"Phospholipase A2","PLA2G1B","P04054","CHEMBL4426","Hydrolase","0.004346695782587465","80 /  4     "
"Aromatase","CYP19A1","P11511","CHEMBL1978","Cytochrome P450","0.004258938473205449","903 /  19     "
