Gene_Symbol,UniProt_Accession,Entrez_Gene_ID,Protein_Name,Protein_Family,NetInfer_Score,Prediction_Rank,Rank_Layer,Organism,Tax_ID,Evidence_Status,Recommendation_For_Merge
PTAFR,P25105,5724,Platelet-activating factor receptor (PAF-R) (PAFr),G-protein coupled receptor 1 family,2.67584,1,Top20_priority,Homo sapiens (Human),9606,prediction_only,Include_as_NetInfer_prediction
DRD3,P35462,1814,D(3) dopamine receptor (Dopamine D3 receptor),G-protein coupled receptor 1 family,2.58939,2,Top20_priority,Homo sapiens (Human),9606,prediction_only,Include_as_NetInfer_prediction
CBX1,P83916,10951,Chromobox protein homolog 1 (HP1Hsbeta) (Heterochromatin protein 1 homolog beta) (HP1 beta) (Heterochromatin protein p25) (M31) (Modifier 1 protein) (p25beta),NA,2.46787,3,Top20_priority,Homo sapiens (Human),9606,prediction_only,Include_as_NetInfer_prediction
OPRL1,P41146,4987,Nociceptin receptor (Kappa-type 3 opioid receptor) (KOR-3) (Orphanin FQ receptor),G-protein coupled receptor 1 family,2.20345,4,Top20_priority,Homo sapiens (Human),9606,prediction_only,Include_as_NetInfer_prediction
GPR55,Q9Y2T6,9290,G-protein coupled receptor 55,G-protein coupled receptor 1 family,2.18895,5,Top20_priority,Homo sapiens (Human),9606,prediction_only,Include_as_NetInfer_prediction
OPRM1,P35372,4988,Mu-type opioid receptor (M-OR-1) (MOR-1) (Mu opiate receptor) (Mu opioid receptor) (MOP) (hMOP),G-protein coupled receptor 1 family,2.06027,6,Top20_priority,Homo sapiens (Human),9606,prediction_only,Include_as_NetInfer_prediction
OPRK1,P41145,4986,Kappa-type opioid receptor (K-OR-1) (KOR-1),G-protein coupled receptor 1 family,1.89741,7,Top20_priority,Homo sapiens (Human),9606,prediction_only,Include_as_NetInfer_prediction
AR,P10275,367,Androgen receptor (Dihydrotestosterone receptor) (Nuclear receptor subfamily 3 group C member 4),"Nuclear hormone receptor family, NR3 subfamily",1.83044,8,Top20_priority,Homo sapiens (Human),9606,prediction_only,Include_as_NetInfer_prediction
OGA,O60502,10724,Protein O-GlcNAcase (OGA) (EC 3.2.1.169) (Beta-N-acetylglucosaminidase) (Beta-N-acetylhexosaminidase) (Beta-hexosaminidase) (Meningioma-expressed antigen 5) (N-acetyl-beta-D-glucosaminidase) (N-acetyl-beta-glucosaminidase) (Nuclear cytoplasmic O-GlcNAcase and acetyltransferase) (NCOAT),Glycosyl hydrolase 84 family,1.73241,9,Top20_priority,Homo sapiens (Human),9606,prediction_only,Include_as_NetInfer_prediction
SHBG,P04278,6462,Sex hormone-binding globulin (SHBG) (Sex steroid-binding protein) (SBP) (Testis-specific androgen-binding protein) (ABP) (Testosterone-estradiol-binding globulin) (TeBG) (Testosterone-estrogen-binding globulin),NA,1.65222,10,Top20_priority,Homo sapiens (Human),9606,prediction_only,Include_as_NetInfer_prediction
