Type_Specific_Rank,Gene_Rank,Gene_Symbol,UniProt_Accession,Source_ChEMBL_IDs,Source_Target_Names,Source_Target_Types,Source_Target_Entity_Count,Component_Relationship,Complex_Derived,Chimeric_Derived,Mutation_Context,D_Score,I_Score,Max_Activity_Score,PASS_Evidence_Type,Raw_Evidence_Record_Count,Score_Band_Descriptive,Prediction_Included,Evidence_Type,Organism,Tax_ID,Query_Compound,PubChem_CID,Source_Database,Source_Version,Retrieval_Date,Activity_Score_Interpretation,Pharmacologic_Direction,Source_URL
1,2,SLC22A2,O15244,CHEMBL1743122,Solute carrier family 22 member 2,SINGLE PROTEIN,1,single_protein,false,false,,,0.5242,0.5242,I,1,>=0.50,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
2,4,SIRT1,Q96EB6,CHEMBL4506,NAD-dependent protein deacetylase sirtuin-1,SINGLE PROTEIN,1,single_protein,false,false,,,0.4695,0.4695,I,1,0.40-<0.50,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
3,5,GLRA1,P23415,CHEMBL5845,Glycine receptor subunit alpha-1,SINGLE PROTEIN,1,single_protein,false,false,,,0.3681,0.3681,I,1,0.30-<0.40,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
4,8,ABCB11,O95342,CHEMBL6020,Bile salt export pump,SINGLE PROTEIN,1,single_protein,false,false,,,0.2922,0.2922,I,1,0.20-<0.30,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
5,10,TOP2A,P11388,CHEMBL1806,DNA topoisomerase 2-alpha,SINGLE PROTEIN,1,single_protein,false,false,,,0.2638,0.2638,I,1,0.20-<0.30,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
6,14,SLC22A1,O15245,CHEMBL5685,Solute carrier family 22 member 1,SINGLE PROTEIN,1,single_protein,false,false,,,0.227,0.227,I,1,0.20-<0.30,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
7,16,OPRK1,P41145,CHEMBL237,Kappa-type opioid receptor,SINGLE PROTEIN,1,single_protein,false,false,,0.1097,0.2131,0.2131,D+I,2,0.20-<0.30,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
8,24,SLC47A2,Q86VL8,CHEMBL1743127,Multidrug and toxin extrusion protein 2,SINGLE PROTEIN,1,single_protein,false,false,,,0.1397,0.1397,I,1,0.10-<0.20,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
9,26,F2R,P25116,CHEMBL3974,Proteinase-activated receptor 1,SINGLE PROTEIN,1,single_protein,false,false,,,0.1169,0.1169,I,1,0.10-<0.20,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
10,30,RELA,Q04206,CHEMBL5533,Transcription factor p65,SINGLE PROTEIN,1,single_protein,false,false,,0.026,0.0966,0.0966,D+I,2,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
