Query_Compound,PubChem_CID,Source_Database,Source_Version,Retrieval_Date,Source_Row_ID,Target_Name_Original,ChEMBL_ID_Raw,ChEMBL_Target_ID_Normalized,Mutation_Context,Activity_Score,Propensity_Score_Raw,Propensity_Score_Clean,Propensity_Status,Interaction_Type,Interaction_Type_Interpretation,ChEMBL_Pref_Name,ChEMBL_Target_Type,Organism,Tax_ID,Gene_Symbols,UniProt_Accessions,Component_Count,Component_Relationship,Prediction_Included,Evidence_Type,Activity_Score_Interpretation,Pharmacologic_Direction,Mapping_Status,Source_URL
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,1,"Glutathione reductase, mitochondrial",CHEMBL2755,CHEMBL2755,,0.5345,0.077,0.077,Positive_propensity_returned,D,simple_assay_model_prediction,"Glutathione reductase, mitochondrial",SINGLE PROTEIN,Homo sapiens,9606,GSR,P00390,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,2,Solute carrier family 22 member 2,CHEMBL1743122,CHEMBL1743122,,0.5242,0.3046,0.3046,Positive_propensity_returned,I,complex_assay_model_prediction,Solute carrier family 22 member 2,SINGLE PROTEIN,Homo sapiens,9606,SLC22A2,O15244,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,3,D(1A) dopamine receptor,CHEMBL2056,CHEMBL2056,,0.483,-1,,No_positive_propensity_returned,D,simple_assay_model_prediction,D(1A) dopamine receptor,SINGLE PROTEIN,Homo sapiens,9606,DRD1,P21728,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,4,NAD-dependent protein deacetylase sirtuin-1,CHEMBL4506,CHEMBL4506,,0.4695,0.4754,0.4754,Positive_propensity_returned,I,complex_assay_model_prediction,NAD-dependent protein deacetylase sirtuin-1,SINGLE PROTEIN,Homo sapiens,9606,SIRT1,Q96EB6,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,5,Glycine receptor subunit alpha-1,CHEMBL5845,CHEMBL5845,,0.3681,0.3463,0.3463,Positive_propensity_returned,I,complex_assay_model_prediction,Glycine receptor subunit alpha-1,SINGLE PROTEIN,Homo sapiens,9606,GLRA1,P23415,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,6,cAMP-dependent protein kinase catalytic subunit alpha,CHEMBL4101,CHEMBL4101,,0.3238,-1,,No_positive_propensity_returned,D,simple_assay_model_prediction,cAMP-dependent protein kinase catalytic subunit alpha,SINGLE PROTEIN,Homo sapiens,9606,PRKACA,P17612,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,7,Cathepsin L2,CHEMBL3272,CHEMBL3272,,0.3152,-1,,No_positive_propensity_returned,D,simple_assay_model_prediction,Cathepsin L2,SINGLE PROTEIN,Homo sapiens,9606,CTSV,O60911,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,8,Bile salt export pump,CHEMBL6020,CHEMBL6020,,0.2922,0.32,0.32,Positive_propensity_returned,I,complex_assay_model_prediction,Bile salt export pump,SINGLE PROTEIN,Homo sapiens,9606,ABCB11,O95342,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,9,Sentrin-specific protease 1,CHEMBL1909484,CHEMBL1909484,,0.2798,-1,,No_positive_propensity_returned,D,simple_assay_model_prediction,Sentrin-specific protease 1,SINGLE PROTEIN,Homo sapiens,9606,SENP1,Q9P0U3,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,10,DNA topoisomerase 2-alpha,CHEMBL1806,CHEMBL1806,,0.2638,-1,,No_positive_propensity_returned,I,complex_assay_model_prediction,DNA topoisomerase 2-alpha,SINGLE PROTEIN,Homo sapiens,9606,TOP2A,P11388,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,11,Receptor-type tyrosine-protein phosphatase C,CHEMBL3243,CHEMBL3243,,0.2558,-1,,No_positive_propensity_returned,D,simple_assay_model_prediction,Receptor-type tyrosine-protein phosphatase C,SINGLE PROTEIN,Homo sapiens,9606,PTPRC,P08575,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,12,DNA topoisomerase 1,CHEMBL1781,CHEMBL1781,,0.2427,0.1162,0.1162,Positive_propensity_returned,D,simple_assay_model_prediction,DNA topoisomerase 1,SINGLE PROTEIN,Homo sapiens,9606,TOP1,P11387,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,13,Serine/threonine-protein phosphatase 5,CHEMBL3425389,CHEMBL3425389,,0.2341,0.2004,0.2004,Positive_propensity_returned,D,simple_assay_model_prediction,Serine/threonine-protein phosphatase 5,SINGLE PROTEIN,Homo sapiens,9606,PPP5C,P53041,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,14,Solute carrier family 22 member 1,CHEMBL5685,CHEMBL5685,,0.227,0.2288,0.2288,Positive_propensity_returned,I,complex_assay_model_prediction,Solute carrier family 22 member 1,SINGLE PROTEIN,Homo sapiens,9606,SLC22A1,O15245,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
