Gene_Rank,Gene_Symbol,UniProt_Accession,Source_ChEMBL_IDs,Source_Target_Names,Source_Target_Types,Source_Target_Entity_Count,Component_Relationship,Complex_Derived,Chimeric_Derived,Mutation_Context,D_Score,I_Score,Max_Activity_Score,PASS_Evidence_Type,Raw_Evidence_Record_Count,Score_Band_Descriptive,Prediction_Included,Evidence_Type,Organism,Tax_ID,Query_Compound,PubChem_CID,Source_Database,Source_Version,Retrieval_Date,Activity_Score_Interpretation,Pharmacologic_Direction,Source_URL
1,GSR,P00390,CHEMBL2755,"Glutathione reductase, mitochondrial",SINGLE PROTEIN,1,single_protein,false,false,,0.5345,,0.5345,D,1,>=0.50,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
2,SLC22A2,O15244,CHEMBL1743122,Solute carrier family 22 member 2,SINGLE PROTEIN,1,single_protein,false,false,,,0.5242,0.5242,I,1,>=0.50,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
3,DRD1,P21728,CHEMBL2056,D(1A) dopamine receptor,SINGLE PROTEIN,1,single_protein,false,false,,0.483,,0.483,D,1,0.40-<0.50,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
4,SIRT1,Q96EB6,CHEMBL4506,NAD-dependent protein deacetylase sirtuin-1,SINGLE PROTEIN,1,single_protein,false,false,,,0.4695,0.4695,I,1,0.40-<0.50,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
5,GLRA1,P23415,CHEMBL5845,Glycine receptor subunit alpha-1,SINGLE PROTEIN,1,single_protein,false,false,,,0.3681,0.3681,I,1,0.30-<0.40,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
6,PRKACA,P17612,CHEMBL4101,cAMP-dependent protein kinase catalytic subunit alpha,SINGLE PROTEIN,1,single_protein,false,false,,0.3238,,0.3238,D,1,0.30-<0.40,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
7,CTSV,O60911,CHEMBL3272,Cathepsin L2,SINGLE PROTEIN,1,single_protein,false,false,,0.3152,,0.3152,D,1,0.30-<0.40,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
8,ABCB11,O95342,CHEMBL6020,Bile salt export pump,SINGLE PROTEIN,1,single_protein,false,false,,,0.2922,0.2922,I,1,0.20-<0.30,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
9,SENP1,Q9P0U3,CHEMBL1909484,Sentrin-specific protease 1,SINGLE PROTEIN,1,single_protein,false,false,,0.2798,,0.2798,D,1,0.20-<0.30,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
10,TOP2A,P11388,CHEMBL1806,DNA topoisomerase 2-alpha,SINGLE PROTEIN,1,single_protein,false,false,,,0.2638,0.2638,I,1,0.20-<0.30,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
11,PTPRC,P08575,CHEMBL3243,Receptor-type tyrosine-protein phosphatase C,SINGLE PROTEIN,1,single_protein,false,false,,0.2558,,0.2558,D,1,0.20-<0.30,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
12,TOP1,P11387,CHEMBL1781,DNA topoisomerase 1,SINGLE PROTEIN,1,single_protein,false,false,,0.2427,,0.2427,D,1,0.20-<0.30,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
13,PPP5C,P53041,CHEMBL3425389,Serine/threonine-protein phosphatase 5,SINGLE PROTEIN,1,single_protein,false,false,,0.2341,,0.2341,D,1,0.20-<0.30,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
14,SLC22A1,O15245,CHEMBL5685,Solute carrier family 22 member 1,SINGLE PROTEIN,1,single_protein,false,false,,,0.227,0.227,I,1,0.20-<0.30,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
15,LYPLA1,O75608,CHEMBL1681631,Acyl-protein thioesterase 1,SINGLE PROTEIN,1,single_protein,false,false,,0.2199,,0.2199,D,1,0.20-<0.30,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
16,OPRK1,P41145,CHEMBL237,Kappa-type opioid receptor,SINGLE PROTEIN,1,single_protein,false,false,,0.1097,0.2131,0.2131,D+I,2,0.20-<0.30,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
17,SOAT1,P35610,CHEMBL2782,Sterol O-acyltransferase 1,SINGLE PROTEIN,1,single_protein,false,false,,0.1935,0.01,0.1935,D+I,2,0.10-<0.20,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
18,CA3,P07451,CHEMBL2885,Carbonic anhydrase 3,SINGLE PROTEIN,1,single_protein,false,false,,0.1871,,0.1871,D,1,0.10-<0.20,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
19,TOP2B,Q02880,CHEMBL3396,DNA topoisomerase 2-beta,SINGLE PROTEIN,1,single_protein,false,false,,0.1832,,0.1832,D,1,0.10-<0.20,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
20,CGAS,Q8N884,CHEMBL4105728,Cyclic GMP-AMP synthase,SINGLE PROTEIN,1,single_protein,false,false,,0.1679,,0.1679,D,1,0.10-<0.20,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
