Target_Rank,ChEMBL_Target_ID_Normalized,ChEMBL_Pref_Name,Target_Name_Original,ChEMBL_Target_Type,Organism,Tax_ID,Component_Gene_Symbols,Component_UniProt_Accessions,Component_Count,D_Score,I_Score,Max_Activity_Score,PASS_Evidence_Type,D_Propensity_Score_Raw,D_Propensity_Score_Clean,D_Propensity_Status,I_Propensity_Score_Raw,I_Propensity_Score_Clean,I_Propensity_Status,Raw_Record_Count,Raw_ChEMBL_IDs,Mutation_Context,Score_Band_Descriptive,Prediction_Included,Evidence_Type,Query_Compound,PubChem_CID,Source_Database,Source_Version,Retrieval_Date,Activity_Score_Interpretation,Pharmacologic_Direction,Source_URL
1,CHEMBL2755,"Glutathione reductase, mitochondrial","Glutathione reductase, mitochondrial",SINGLE PROTEIN,Homo sapiens,9606,GSR,P00390,1,0.5345,,0.5345,D,0.077,0.077,Positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL2755,,>=0.50,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
2,CHEMBL1743122,Solute carrier family 22 member 2,Solute carrier family 22 member 2,SINGLE PROTEIN,Homo sapiens,9606,SLC22A2,O15244,1,,0.5242,0.5242,I,,,not_applicable_no_D_record,0.3046,0.3046,Positive_propensity_returned,1,CHEMBL1743122,,>=0.50,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
3,CHEMBL2056,D(1A) dopamine receptor,D(1A) dopamine receptor,SINGLE PROTEIN,Homo sapiens,9606,DRD1,P21728,1,0.483,,0.483,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL2056,,0.40-<0.50,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
4,CHEMBL4506,NAD-dependent protein deacetylase sirtuin-1,NAD-dependent protein deacetylase sirtuin-1,SINGLE PROTEIN,Homo sapiens,9606,SIRT1,Q96EB6,1,,0.4695,0.4695,I,,,not_applicable_no_D_record,0.4754,0.4754,Positive_propensity_returned,1,CHEMBL4506,,0.40-<0.50,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
5,CHEMBL5845,Glycine receptor subunit alpha-1,Glycine receptor subunit alpha-1,SINGLE PROTEIN,Homo sapiens,9606,GLRA1,P23415,1,,0.3681,0.3681,I,,,not_applicable_no_D_record,0.3463,0.3463,Positive_propensity_returned,1,CHEMBL5845,,0.30-<0.40,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
6,CHEMBL4101,cAMP-dependent protein kinase catalytic subunit alpha,cAMP-dependent protein kinase catalytic subunit alpha,SINGLE PROTEIN,Homo sapiens,9606,PRKACA,P17612,1,0.3238,,0.3238,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL4101,,0.30-<0.40,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
7,CHEMBL3272,Cathepsin L2,Cathepsin L2,SINGLE PROTEIN,Homo sapiens,9606,CTSV,O60911,1,0.3152,,0.3152,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL3272,,0.30-<0.40,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
8,CHEMBL6020,Bile salt export pump,Bile salt export pump,SINGLE PROTEIN,Homo sapiens,9606,ABCB11,O95342,1,,0.2922,0.2922,I,,,not_applicable_no_D_record,0.32,0.32,Positive_propensity_returned,1,CHEMBL6020,,0.20-<0.30,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
9,CHEMBL1909484,Sentrin-specific protease 1,Sentrin-specific protease 1,SINGLE PROTEIN,Homo sapiens,9606,SENP1,Q9P0U3,1,0.2798,,0.2798,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL1909484,,0.20-<0.30,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
10,CHEMBL1806,DNA topoisomerase 2-alpha,DNA topoisomerase 2-alpha,SINGLE PROTEIN,Homo sapiens,9606,TOP2A,P11388,1,,0.2638,0.2638,I,,,not_applicable_no_D_record,-1,,No_positive_propensity_returned,1,CHEMBL1806,,0.20-<0.30,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
