"Rank","Target ID","Target Name","Confidence Score","Target Protein Class","Target Organism","Target Type","Nearest Neighbors","ChEMBL_Pref_Name","ChEMBL_Organism","ChEMBL_TaxID","ChEMBL_Target_Type","Protein_Component_Count","UniProt_accessions","Gene_Symbols","UniProt_entry_names","UniProt_reviewed","Mapping_Status","Is_Human_Verified","Is_Single_Protein","Meets_Confidence_gt0.2","Included_Reliable","Exclusion_Reason","Compound","PubChem_CID","Source_Database","Prediction_Method","Method_Verification","ChEMBL_Training_Version","Retrieval_Date","Processing_Date","Evidence_Type","ChEMBL_Target_URL"
"1","CHEMBL1293232","Survival motor neuron protein","0.83","epigenetic regulator reader methyl-lysine tudor","Homo sapiens","SINGLE PROTEIN","","Survival motor neuron protein","Homo sapiens","9606","SINGLE PROTEIN","1","Q16637","SMN1;SMN2","SMN_HUMAN","reviewed","mapped","TRUE","TRUE","TRUE","TRUE","","Bilobalide","73581","PPB3","Consensus_assumed_from_protocol","Prediction method is not encoded in the downloaded CSV","ChEMBL 34","2026-07-11","2026-07-11","DNN_ligand_based_target_prediction","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL1293232"
"2","CHEMBL2903","Arachidonate 15-lipoxygenase","0.81","enzyme reductase","Homo sapiens","SINGLE PROTEIN","","Polyunsaturated fatty acid lipoxygenase ALOX15","Homo sapiens","9606","SINGLE PROTEIN","1","P16050","ALOX15","LOX15_HUMAN","reviewed","mapped","TRUE","TRUE","TRUE","TRUE","","Bilobalide","73581","PPB3","Consensus_assumed_from_protocol","Prediction method is not encoded in the downloaded CSV","ChEMBL 34","2026-07-11","2026-07-11","DNN_ligand_based_target_prediction","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL2903"
"3","CHEMBL1743121","Solute carrier organic anion transporter family member 1B3","0.5","transporter electrochemical slc slc21","Homo sapiens","SINGLE PROTEIN","","Solute carrier organic anion transporter family member 1B3","Homo sapiens","9606","SINGLE PROTEIN","1","Q9NPD5","SLCO1B3","SO1B3_HUMAN","reviewed","mapped","TRUE","TRUE","TRUE","TRUE","","Bilobalide","73581","PPB3","Consensus_assumed_from_protocol","Prediction method is not encoded in the downloaded CSV","ChEMBL 34","2026-07-11","2026-07-11","DNN_ligand_based_target_prediction","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL1743121"
"4","CHEMBL1947","Thyroid hormone receptor beta-1","0.43","transcription factor nuclear receptor nr1 nr1a nr1a2","Homo sapiens","SINGLE PROTEIN","","Thyroid hormone receptor beta","Homo sapiens","9606","SINGLE PROTEIN","1","P10828","THRB","THB_HUMAN","reviewed","mapped","TRUE","TRUE","TRUE","TRUE","","Bilobalide","73581","PPB3","Consensus_assumed_from_protocol","Prediction method is not encoded in the downloaded CSV","ChEMBL 34","2026-07-11","2026-07-11","DNN_ligand_based_target_prediction","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL1947"
"5","CHEMBL1697668","Solute carrier organic anion transporter family member 1B1","0.41","transporter electrochemical slc slc21","Homo sapiens","SINGLE PROTEIN","","Solute carrier organic anion transporter family member 1B1","Homo sapiens","9606","SINGLE PROTEIN","1","Q9Y6L6","SLCO1B1","SO1B1_HUMAN","reviewed","mapped","TRUE","TRUE","TRUE","TRUE","","Bilobalide","73581","PPB3","Consensus_assumed_from_protocol","Prediction method is not encoded in the downloaded CSV","ChEMBL 34","2026-07-11","2026-07-11","DNN_ligand_based_target_prediction","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL1697668"
"6","CHEMBL4159","Endoplasmic reticulum-associated amyloid beta-peptide-binding protein","0.4","enzyme reductase","Homo sapiens","SINGLE PROTEIN","","3-hydroxyacyl-CoA dehydrogenase type-2","Homo sapiens","9606","SINGLE PROTEIN","1","Q99714","HSD17B10","HCD2_HUMAN","reviewed","mapped","TRUE","TRUE","TRUE","TRUE","","Bilobalide","73581","PPB3","Consensus_assumed_from_protocol","Prediction method is not encoded in the downloaded CSV","ChEMBL 34","2026-07-11","2026-07-11","DNN_ligand_based_target_prediction","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL4159"
"7","CHEMBL1963","Thyroid stimulating hormone receptor","0.35","membrane receptor 7tm1 peptide glycohormone receptor glycohormone receptor","Homo sapiens","SINGLE PROTEIN","","Thyrotropin receptor","Homo sapiens","9606","SINGLE PROTEIN","1","P16473","TSHR","TSHR_HUMAN","reviewed","mapped","TRUE","TRUE","TRUE","TRUE","","Bilobalide","73581","PPB3","Consensus_assumed_from_protocol","Prediction method is not encoded in the downloaded CSV","ChEMBL 34","2026-07-11","2026-07-11","DNN_ligand_based_target_prediction","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL1963"
"8","CHEMBL1293235","Prelamin-A/C","0.35","nuclear other, structural","Homo sapiens","SINGLE PROTEIN","","Prelamin-A/C","Homo sapiens","9606","SINGLE PROTEIN","1","P02545","LMNA","LMNA_HUMAN","reviewed","mapped","TRUE","TRUE","TRUE","TRUE","","Bilobalide","73581","PPB3","Consensus_assumed_from_protocol","Prediction method is not encoded in the downloaded CSV","ChEMBL 34","2026-07-11","2026-07-11","DNN_ligand_based_target_prediction","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL1293235"
"9","CHEMBL614466","Colon 26","0.3","unclassified","Mus musculus","CELL-LINE","","Colon 26","Mus musculus","10090","CELL-LINE","0","","","","","no_protein_component","FALSE","FALSE","TRUE","FALSE","Non-human ChEMBL target; Target type is CELL-LINE; No protein component accession","Bilobalide","73581","PPB3","Consensus_assumed_from_protocol","Prediction method is not encoded in the downloaded CSV","ChEMBL 34","2026-07-11","2026-07-11","DNN_ligand_based_target_prediction","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL614466"
"10","CHEMBL1293227","Ubiquitin carboxyl-terminal hydrolase 2","0.18","enzyme protease cysteine ca c19","Homo sapiens","SINGLE PROTEIN","","Ubiquitin carboxyl-terminal hydrolase 2","Homo sapiens","9606","SINGLE PROTEIN","1","O75604","USP2","UBP2_HUMAN","reviewed","mapped","TRUE","TRUE","FALSE","FALSE","Confidence score <= 0.2","Bilobalide","73581","PPB3","Consensus_assumed_from_protocol","Prediction method is not encoded in the downloaded CSV","ChEMBL 34","2026-07-11","2026-07-11","DNN_ligand_based_target_prediction","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL1293227"
"11","CHEMBL3577","Aldehyde dehydrogenase 1A1","0.18","enzyme reductase","Homo sapiens","SINGLE PROTEIN","","Aldehyde dehydrogenase 1A1","Homo sapiens","9606","SINGLE PROTEIN","1","P00352","ALDH1A1","AL1A1_HUMAN","reviewed","mapped","TRUE","TRUE","FALSE","FALSE","Confidence score <= 0.2","Bilobalide","73581","PPB3","Consensus_assumed_from_protocol","Prediction method is not encoded in the downloaded CSV","ChEMBL 34","2026-07-11","2026-07-11","DNN_ligand_based_target_prediction","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL3577"
"12","CHEMBL4261","Hypoxia-inducible factor 1 alpha","0.18","transcription factor","Homo sapiens","SINGLE PROTEIN","","Hypoxia-inducible factor 1-alpha","Homo sapiens","9606","SINGLE PROTEIN","1","Q16665","HIF1A","HIF1A_HUMAN","reviewed","mapped","TRUE","TRUE","FALSE","FALSE","Confidence score <= 0.2","Bilobalide","73581","PPB3","Consensus_assumed_from_protocol","Prediction method is not encoded in the downloaded CSV","ChEMBL 34","2026-07-11","2026-07-11","DNN_ligand_based_target_prediction","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL4261"
"13","CHEMBL1293303","Nonstructural protein 1","0.18","unclassified","Influenza A virus","SINGLE PROTEIN","","Nonstructural protein 1","Influenza A virus","382835","SINGLE PROTEIN","1","Q194T2","NS1","Q194T2_9INFA","unreviewed","mapped","FALSE","TRUE","FALSE","FALSE","Confidence score <= 0.2; Non-human ChEMBL target; Non-human UniProt component","Bilobalide","73581","PPB3","Consensus_assumed_from_protocol","Prediction method is not encoded in the downloaded CSV","ChEMBL 34","2026-07-11","2026-07-11","DNN_ligand_based_target_prediction","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL1293303"
"14","CHEMBL4096","Cellular tumor antigen p53","0.16","transcription factor","Homo sapiens","SINGLE PROTEIN","","Cellular tumor antigen p53","Homo sapiens","9606","SINGLE PROTEIN","1","P04637","TP53","P53_HUMAN","reviewed","mapped","TRUE","TRUE","FALSE","FALSE","Confidence score <= 0.2","Bilobalide","73581","PPB3","Consensus_assumed_from_protocol","Prediction method is not encoded in the downloaded CSV","ChEMBL 34","2026-07-11","2026-07-11","DNN_ligand_based_target_prediction","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL4096"
"15","CHEMBL376","Rattus norvegicus","0.16","unclassified","Rattus norvegicus","ORGANISM","","Rattus norvegicus","Rattus norvegicus","10116","ORGANISM","0","","","","","no_protein_component","FALSE","FALSE","FALSE","FALSE","Confidence score <= 0.2; Non-human ChEMBL target; Target type is ORGANISM; No protein component accession","Bilobalide","73581","PPB3","Consensus_assumed_from_protocol","Prediction method is not encoded in the downloaded CSV","ChEMBL 34","2026-07-11","2026-07-11","DNN_ligand_based_target_prediction","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL376"
"16","CHEMBL3563","Cruzipain","0.16","enzyme protease cysteine ca c1a","Trypanosoma cruzi","SINGLE PROTEIN","","Cruzipain","Trypanosoma cruzi","5693","SINGLE PROTEIN","1","P25779","","CYSP_TRYCR","reviewed","mapped","FALSE","TRUE","FALSE","FALSE","Confidence score <= 0.2; Non-human ChEMBL target; Non-human UniProt component","Bilobalide","73581","PPB3","Consensus_assumed_from_protocol","Prediction method is not encoded in the downloaded CSV","ChEMBL 34","2026-07-11","2026-07-11","DNN_ligand_based_target_prediction","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL3563"
"17","CHEMBL1293224","Microtubule-associated protein tau","0.14","cytosolic other","Homo sapiens","SINGLE PROTEIN","","Microtubule-associated protein tau","Homo sapiens","9606","SINGLE PROTEIN","1","P10636","MAPT","TAU_HUMAN","reviewed","mapped","TRUE","TRUE","FALSE","FALSE","Confidence score <= 0.2","Bilobalide","73581","PPB3","Consensus_assumed_from_protocol","Prediction method is not encoded in the downloaded CSV","ChEMBL 34","2026-07-11","2026-07-11","DNN_ligand_based_target_prediction","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL1293224"
"18","CHEMBL1293238","Inositol monophosphatase 1","0.14","enzyme hydrolase","Rattus norvegicus","SINGLE PROTEIN","","Inositol monophosphatase 1","Rattus norvegicus","10116","SINGLE PROTEIN","1","P97697","Impa1","IMPA1_RAT","reviewed","mapped","FALSE","TRUE","FALSE","FALSE","Confidence score <= 0.2; Non-human ChEMBL target; Non-human UniProt component","Bilobalide","73581","PPB3","Consensus_assumed_from_protocol","Prediction method is not encoded in the downloaded CSV","ChEMBL 34","2026-07-11","2026-07-11","DNN_ligand_based_target_prediction","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL1293238"
"19","CHEMBL4040","MAP kinase ERK2","0.13","enzyme kinase protein kinase cmgc mapk erk","Homo sapiens","SINGLE PROTEIN","","Mitogen-activated protein kinase 1","Homo sapiens","9606","SINGLE PROTEIN","1","P28482","MAPK1","MK01_HUMAN","reviewed","mapped","TRUE","TRUE","FALSE","FALSE","Confidence score <= 0.2","Bilobalide","73581","PPB3","Consensus_assumed_from_protocol","Prediction method is not encoded in the downloaded CSV","ChEMBL 34","2026-07-11","2026-07-11","DNN_ligand_based_target_prediction","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL4040"
"20","CHEMBL1293231","Nuclear receptor ROR-gamma","0.12","transcription factor nuclear receptor nr1 nr1f nr1f3","Mus musculus","SINGLE PROTEIN","","Nuclear receptor ROR-gamma","Mus musculus","10090","SINGLE PROTEIN","1","P51450","Rorc","RORG_MOUSE","reviewed","mapped","FALSE","TRUE","FALSE","FALSE","Confidence score <= 0.2; Non-human ChEMBL target; Non-human UniProt component","Bilobalide","73581","PPB3","Consensus_assumed_from_protocol","Prediction method is not encoded in the downloaded CSV","ChEMBL 34","2026-07-11","2026-07-11","DNN_ligand_based_target_prediction","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL1293231"
