"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)","Gene_Symbol","UniProt_accession","Compound","PubChem_CID","Species","TaxID","Source_Database","Retrieval_Date","Analysis_Set","Selection_Criterion","Meets_Strict_Cutoff","Included","Mapping_Note"
"Glycine receptor subunit alpha-1","GLRA1","P23415","CHEMBL5845","Ligand-gated ion channel","0.9285033668861793","38 /  7","GLRA1","P23415","Bilobalide","73581","Homo sapiens","9606","SwissTargetPrediction","2026-07-11","exploratory_inclusive","Probability >= 0.1","TRUE","TRUE",""
"Glycine receptor subunit alpha-2","GLRA2","P23416","CHEMBL5871","Ligand-gated ion channel","0.9281293277882243","5 /  5","GLRA2","P23416","Bilobalide","73581","Homo sapiens","9606","SwissTargetPrediction","2026-07-11","exploratory_inclusive","Probability >= 0.1","TRUE","TRUE",""
"Platelet-activating factor receptor","PTAFR","P25105","CHEMBL250","Family A G protein-coupled receptor","0.9273758288310694","200 /  6","PTAFR","P25105","Bilobalide","73581","Homo sapiens","9606","SwissTargetPrediction","2026-07-11","exploratory_inclusive","Probability >= 0.1","TRUE","TRUE",""
"Beta-glucuronidase","GUSB","P08236","CHEMBL2728","Hydrolase","0.9273758288310694","89 /  1","GUSB","P08236","Bilobalide","73581","Homo sapiens","9606","SwissTargetPrediction","2026-07-11","exploratory_inclusive","Probability >= 0.1","TRUE","TRUE",""
"Kappa-type opioid receptor","OPRK1","P41145","CHEMBL237","Family A G protein-coupled receptor","0.42465054779412786","2311 /  63","OPRK1","P41145","Bilobalide","73581","Homo sapiens","9606","SwissTargetPrediction","2026-07-11","exploratory_inclusive","Probability >= 0.1","FALSE","TRUE",""
"Protein kinase C alpha type","PRKCA","P17252","CHEMBL299","Kinase","0.32540390698929317","727 /  206","PRKCA","P17252","Bilobalide","73581","Homo sapiens","9606","SwissTargetPrediction","2026-07-11","exploratory_inclusive","Probability >= 0.1","FALSE","TRUE",""
"Tyrosine-protein phosphatase non-receptor type 1","PTPN1","P18031","CHEMBL335","Phosphatase","0.30134421949092244","647 /  40","PTPN1","P18031","Bilobalide","73581","Homo sapiens","9606","SwissTargetPrediction","2026-07-11","exploratory_inclusive","Probability >= 0.1","FALSE","TRUE",""
"Protein phosphatase 1A","PPM1A","P35813","CHEMBL2437","Phosphatase","0.27680430072572254","7 /  1","PPM1A","P35813","Bilobalide","73581","Homo sapiens","9606","SwissTargetPrediction","2026-07-11","exploratory_inclusive","Probability >= 0.1","FALSE","TRUE",""
"Toll-like receptor 4","TLR4","O00206","CHEMBL5255","Toll-like and Il-1 receptors","0.23646426922557276","76 /  5","TLR4","O00206","Bilobalide","73581","Homo sapiens","9606","SwissTargetPrediction","2026-07-11","exploratory_inclusive","Probability >= 0.1","FALSE","TRUE",""
"Toll-like receptor 2","TLR2","O60603","CHEMBL4163","Toll-like and Il-1 receptors","0.21884785891477815","61 /  1","TLR2","O60603","Bilobalide","73581","Homo sapiens","9606","SwissTargetPrediction","2026-07-11","exploratory_inclusive","Probability >= 0.1","FALSE","TRUE",""
"Protein kinase C theta type","PRKCQ","Q04759","CHEMBL3920","Kinase","0.19950973963636306","673 /  16","PRKCQ","Q04759","Bilobalide","73581","Homo sapiens","9606","SwissTargetPrediction","2026-07-11","exploratory_inclusive","Probability >= 0.1","FALSE","TRUE",""
"ATP-dependent translocase ABCB1","ABCB1","P08183","CHEMBL4302","Primary active transporter","0.19330698356253556","999 /  97","ABCB1","P08183","Bilobalide","73581","Homo sapiens","9606","SwissTargetPrediction","2026-07-11","exploratory_inclusive","Probability >= 0.1","FALSE","TRUE",""
"Protein kinase C delta type","PRKCD","Q05655","CHEMBL2996","Kinase","0.18384120600480286","449 /  43","PRKCD","Q05655","Bilobalide","73581","Homo sapiens","9606","SwissTargetPrediction","2026-07-11","exploratory_inclusive","Probability >= 0.1","FALSE","TRUE",""
"Mu-type opioid receptor","OPRM1","P35372","CHEMBL233","Family A G protein-coupled receptor","0.18186176174553179","2345 /  13","OPRM1","P35372","Bilobalide","73581","Homo sapiens","9606","SwissTargetPrediction","2026-07-11","exploratory_inclusive","Probability >= 0.1","FALSE","TRUE",""
"Protein kinase C epsilon type","PRKCE","Q02156","CHEMBL3582","Kinase","0.1747448237576917","233 /  36","PRKCE","Q02156","Bilobalide","73581","Homo sapiens","9606","SwissTargetPrediction","2026-07-11","exploratory_inclusive","Probability >= 0.1","FALSE","TRUE",""
"Transcription factor Jun","JUN","P05412","CHEMBL4977","Transcription factor","0.15651147391566908","49 /  4","JUN","P05412","Bilobalide","73581","Homo sapiens","9606","SwissTargetPrediction","2026-07-11","exploratory_inclusive","Probability >= 0.1","FALSE","TRUE",""
"M-phase inducer phosphatase 2","CDC25B","P30305","CHEMBL4804","Phosphatase","0.13454618818994749","125 /  14","CDC25B","P30305","Bilobalide","73581","Homo sapiens","9606","SwissTargetPrediction","2026-07-11","exploratory_inclusive","Probability >= 0.1","FALSE","TRUE",""
"Kir3.1/Kir3.4","N/A","P48549&P48544","CHEMBL3038488","Voltage-gated ion channel","0.12377361919001177","195 /  6","KCNJ3;KCNJ5","P48549;P48544","Bilobalide","73581","Homo sapiens","9606","SwissTargetPrediction","2026-07-11","exploratory_inclusive","Probability >= 0.1","FALSE","TRUE","Protein complex; split into KCNJ3 and KCNJ5 before gene-level deduplication"
"Protein kinase C eta type","PRKCH","P24723","CHEMBL3616","Kinase","0.11154016540784273","125 /  12","PRKCH","P24723","Bilobalide","73581","Homo sapiens","9606","SwissTargetPrediction","2026-07-11","exploratory_inclusive","Probability >= 0.1","FALSE","TRUE",""
"Protein kinase C beta type","PRKCB","P05771","CHEMBL3045","Kinase","0.11154016540784273","221 /  15","PRKCB","P05771","Bilobalide","73581","Homo sapiens","9606","SwissTargetPrediction","2026-07-11","exploratory_inclusive","Probability >= 0.1","FALSE","TRUE",""
