assocID,Disease,Disease_CUI,Gene_Symbol,Entrez_Gene_ID,Ensembl_Gene_ID,Gene_Description,Gene_Type,Raw_GDA_Score,Normalized_Score,N_PMIDs,First_Ref_Year,Last_Ref_Year,EI,DSI,DPI,Evidence_Origin,Has_Human_TextMining,Has_Model_TextMining,Broad_Ischemic_Stroke_Present,Broad_Raw_GDA_Score,Broad_N_PMIDs,Evidence_Tier,Protein_Coding_for_STRING,Human_Literature_Extended_Eligible,Conservative_EI_Eligible,Recommended_Use,Association_Role,Caution,Score_Breakdown
4318_C5392833,Acute Ischemic Stroke,C5392833,MMP9,4318,ENSG00000100985,matrix metallopeptidase 9,protein-coding,0.35,0.2258064516129032,26,2006,2025,0.9230769230769232,0.31,0.92,Human_and_model_text_mining,TRUE,TRUE,TRUE,0.45,72,Primary_raw_score_ge_0.30,TRUE,TRUE,TRUE,Main_DisGeNET_AIS_set,Acute injury/BBB response,Literature-mined AIS association; not causal or therapeutic validation.,"Total: 0.35 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_HUMAN,TEXTMINING_MODELS; publications=26; weight=0.3"
5327_C5392833,Acute Ischemic Stroke,C5392833,PLAT,5327,ENSG00000104368,"plasminogen activator, tissue type",protein-coding,0.35,0.2258064516129032,20,2002,2025,1,0.41,0.92,Human_and_model_text_mining,TRUE,TRUE,TRUE,0.45,32,Primary_raw_score_ge_0.30,TRUE,TRUE,TRUE,Main_DisGeNET_AIS_set,Fibrinolysis/treatment-related association,Literature-mined AIS association; not causal or therapeutic validation.,"Total: 0.35 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_HUMAN,TEXTMINING_MODELS; publications=20; weight=0.3"
7422_C5392833,Acute Ischemic Stroke,C5392833,VEGFA,7422,ENSG00000112715,vascular endothelial growth factor A,protein-coding,0.35,0.2258064516129032,17,2000,2024,0.9411764705882352,0.28,0.92,Human_and_model_text_mining,TRUE,TRUE,TRUE,0.45,45,Primary_raw_score_ge_0.30,TRUE,TRUE,TRUE,Main_DisGeNET_AIS_set,Vascular permeability/repair response,Literature-mined AIS association; not causal or therapeutic validation.,"Total: 0.35 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_HUMAN,TEXTMINING_MODELS; publications=17; weight=0.3"
1401_C5392833,Acute Ischemic Stroke,C5392833,CRP,1401,ENSG00000132693,C-reactive protein,protein-coding,0.3,0.1935483870967742,38,2002,2025,0.9210526315789472,0.28,0.96,Human_text_mining_only,TRUE,FALSE,TRUE,0.55,103,Primary_raw_score_ge_0.30,TRUE,TRUE,TRUE,Main_DisGeNET_AIS_set,Inflammatory biomarker,Literature-mined AIS association; not causal or therapeutic validation.,Total: 0.3 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=None; count=0; weight=0 | Biobank: none | Literature: sources=TEXTMINING_HUMAN; publications=38; weight=0.3
3569_C5392833,Acute Ischemic Stroke,C5392833,IL6,3569,ENSG00000136244,interleukin 6,protein-coding,0.3,0.1935483870967742,27,2005,2026,0.8888888888888888,0.25,0.96,Human_text_mining_only,TRUE,FALSE,TRUE,0.45,75,Primary_raw_score_ge_0.30,TRUE,TRUE,TRUE,Main_DisGeNET_AIS_set,Inflammatory response,Literature-mined AIS association; not causal or therapeutic validation.,Total: 0.3 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=None; count=0; weight=0 | Biobank: none | Literature: sources=TEXTMINING_HUMAN; publications=27; weight=0.3
213_C5392833,Acute Ischemic Stroke,C5392833,ALB,213,ENSG00000163631,albumin,protein-coding,0.3,0.1935483870967742,19,2013,2026,1,0.33,0.92,Human_text_mining_only,TRUE,FALSE,TRUE,0.4,17,Primary_raw_score_ge_0.30,TRUE,TRUE,TRUE,Main_DisGeNET_AIS_set,Biomarker/prognostic association,Literature-mined AIS association; not causal or therapeutic validation.,Total: 0.3 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=None; count=0; weight=0 | Biobank: none | Literature: sources=TEXTMINING_HUMAN; publications=19; weight=0.3
4879_C5392833,Acute Ischemic Stroke,C5392833,NPPB,4879,ENSG00000120937,natriuretic peptide B,protein-coding,0.3,0.1935483870967742,18,2005,2025,0.9444444444444444,0.39,0.88,Human_text_mining_only,TRUE,FALSE,TRUE,0.4,29,Primary_raw_score_ge_0.30,TRUE,TRUE,TRUE,Main_DisGeNET_AIS_set,Biomarker/cardiac-stress association,Literature-mined AIS association; not causal or therapeutic validation.,Total: 0.3 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=None; count=0; weight=0 | Biobank: none | Literature: sources=TEXTMINING_HUMAN; publications=18; weight=0.3
7124_C5392833,Acute Ischemic Stroke,C5392833,TNF,7124,ENSG00000232810,tumor necrosis factor,protein-coding,0.3,0.1935483870967742,17,2013,2025,0.8235294117647058,0.25,0.96,Human_text_mining_only,TRUE,FALSE,TRUE,0.45,61,Primary_raw_score_ge_0.30,TRUE,TRUE,TRUE,Main_DisGeNET_AIS_set,Inflammatory response,Literature-mined AIS association; not causal or therapeutic validation.,Total: 0.3 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=None; count=0; weight=0 | Biobank: none | Literature: sources=TEXTMINING_HUMAN; publications=17; weight=0.3
7941_C5392833,Acute Ischemic Stroke,C5392833,PLA2G7,7941,ENSG00000146070,phospholipase A2 group VII,protein-coding,0.3,0.1935483870967742,15,2017,2025,1,0.48,0.88,Human_text_mining_only,TRUE,FALSE,TRUE,0.4,31,Primary_raw_score_ge_0.30,TRUE,TRUE,TRUE,Main_DisGeNET_AIS_set,Vascular inflammation/risk association,Literature-mined AIS association; not causal or therapeutic validation.,Total: 0.3 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=None; count=0; weight=0 | Biobank: none | Literature: sources=TEXTMINING_HUMAN; publications=15; weight=0.3
627_C5392833,Acute Ischemic Stroke,C5392833,BDNF,627,ENSG00000176697,brain derived neurotrophic factor,protein-coding,0.3,0.1935483870967742,11,2011,2026,0.8181818181818182,0.35,0.92,Human_text_mining_only,TRUE,FALSE,TRUE,0.45,43,Primary_raw_score_ge_0.30,TRUE,TRUE,TRUE,Main_DisGeNET_AIS_set,Neurorepair/prognostic association,Literature-mined AIS association; not causal or therapeutic validation.,Total: 0.3 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=None; count=0; weight=0 | Biobank: none | Literature: sources=TEXTMINING_HUMAN; publications=11; weight=0.3
