assocID,Disease,Disease_CUI,Gene_Symbol,Entrez_Gene_ID,Ensembl_Gene_ID,Gene_Description,Gene_Type,Raw_GDA_Score,Normalized_Score,N_PMIDs,First_Ref_Year,Last_Ref_Year,EI,DSI,DPI,Evidence_Origin,Has_Human_TextMining,Has_Model_TextMining,Broad_Ischemic_Stroke_Present,Broad_Raw_GDA_Score,Broad_N_PMIDs,Evidence_Tier,Protein_Coding_for_STRING,Human_Literature_Extended_Eligible,Conservative_EI_Eligible,Recommended_Use,Association_Role,Caution,Score_Breakdown
3479_C5392833,Acute Ischemic Stroke,C5392833,IGF1,3479,ENSG00000017427,insulin like growth factor 1,protein-coding,0.25,0.1612903225806451,6,2014,2022,1,0.31,0.92,Human_and_model_text_mining,TRUE,TRUE,TRUE,0.45,33,Extended_PC_0.20_to_lt_0.30,TRUE,TRUE,TRUE,Conservative_sensitivity_only,,Below the primary raw-score threshold; do not merge into the strict set without labeling.,"Total: 0.25 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_HUMAN,TEXTMINING_MODELS; publications=6; weight=0.2"
23411_C5392833,Acute Ischemic Stroke,C5392833,SIRT1,23411,ENSG00000096717,sirtuin 1,protein-coding,0.25,0.1612903225806451,5,2018,2024,0.8,0.38,0.88,Human_and_model_text_mining,TRUE,TRUE,TRUE,0.35,10,Extended_PC_0.20_to_lt_0.30,TRUE,TRUE,TRUE,Conservative_sensitivity_only,,Below the primary raw-score threshold; do not merge into the strict set without labeling.,"Total: 0.25 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_HUMAN,TEXTMINING_MODELS; publications=5; weight=0.2"
1471_C5392833,Acute Ischemic Stroke,C5392833,CST3,1471,ENSG00000101439,cystatin C,protein-coding,0.25,0.1612903225806451,4,2015,2019,1,0.43,0.88,Human_and_model_text_mining,TRUE,TRUE,TRUE,0.3,4,Extended_PC_0.20_to_lt_0.30,TRUE,TRUE,TRUE,Conservative_sensitivity_only,,Below the primary raw-score threshold; do not merge into the strict set without labeling.,"Total: 0.25 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_HUMAN,TEXTMINING_MODELS; publications=4; weight=0.2"
4137_C5392833,Acute Ischemic Stroke,C5392833,MAPT,4137,ENSG00000186868,microtubule associated protein tau,protein-coding,0.25,0.1612903225806451,4,2006,2020,1,0.38,0.92,Human_and_model_text_mining,TRUE,TRUE,TRUE,0.45,10,Extended_PC_0.20_to_lt_0.30,TRUE,TRUE,TRUE,Conservative_sensitivity_only,,Below the primary raw-score threshold; do not merge into the strict set without labeling.,"Total: 0.25 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_HUMAN,TEXTMINING_MODELS; publications=4; weight=0.2"
406947_C5392833,Acute Ischemic Stroke,C5392833,MIR155,406947,ENSG00000283904,microRNA 155,ncRNA,0.25,0.1612903225806451,4,2021,2026,1,0.4,0.88,Human_and_model_text_mining,TRUE,TRUE,TRUE,0.2,5,Extended_nonprotein_audit,FALSE,FALSE,FALSE,Noncoding_audit_only,,Non-protein-coding record; exclude from routine STRING protein PPI.,"Total: 0.25 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_HUMAN,TEXTMINING_MODELS; publications=4; weight=0.2"
4313_C5392833,Acute Ischemic Stroke,C5392833,MMP2,4313,ENSG00000087245,matrix metallopeptidase 2,protein-coding,0.25,0.1612903225806451,4,2014,2025,0.75,0.34,0.88,Human_and_model_text_mining,TRUE,TRUE,TRUE,0.45,11,Extended_PC_0.20_to_lt_0.30,TRUE,TRUE,FALSE,Human_literature_sensitivity_only,,Below the primary raw-score threshold; do not merge into the strict set without labeling.,"Total: 0.25 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_HUMAN,TEXTMINING_MODELS; publications=4; weight=0.2"
100506658_C5392833,Acute Ischemic Stroke,C5392833,OCLN,100506658,ENSG00000197822,occludin,protein-coding,0.25,0.1612903225806451,4,2018,2025,1,0.48,0.92,Human_and_model_text_mining,TRUE,TRUE,TRUE,0.35,6,Extended_PC_0.20_to_lt_0.30,TRUE,TRUE,TRUE,Conservative_sensitivity_only,,Below the primary raw-score threshold; do not merge into the strict set without labeling.,"Total: 0.25 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_HUMAN,TEXTMINING_MODELS; publications=4; weight=0.2"
7099_C5392833,Acute Ischemic Stroke,C5392833,TLR4,7099,ENSG00000136869,toll like receptor 4,protein-coding,0.25,0.1612903225806451,4,2014,2026,1,0.33,0.92,Human_and_model_text_mining,TRUE,TRUE,TRUE,0.45,35,Extended_PC_0.20_to_lt_0.30,TRUE,TRUE,TRUE,Conservative_sensitivity_only,,Below the primary raw-score threshold; do not merge into the strict set without labeling.,"Total: 0.25 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_HUMAN,TEXTMINING_MODELS; publications=4; weight=0.2"
51129_C5392833,Acute Ischemic Stroke,C5392833,ANGPTL4,51129,ENSG00000167772,angiopoietin like 4,protein-coding,0.25,0.1612903225806451,3,2021,2025,1,0.47,0.83,Human_and_model_text_mining,TRUE,TRUE,TRUE,0.3,3,Extended_PC_0.20_to_lt_0.30,TRUE,TRUE,TRUE,Conservative_sensitivity_only,,Below the primary raw-score threshold; do not merge into the strict set without labeling.,"Total: 0.25 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_HUMAN,TEXTMINING_MODELS; publications=3; weight=0.2"
361_C5392833,Acute Ischemic Stroke,C5392833,AQP4,361,ENSG00000171885,aquaporin 4,protein-coding,0.25,0.1612903225806451,3,2020,2024,1,0.43,0.88,Human_and_model_text_mining,TRUE,TRUE,TRUE,0.35,16,Extended_PC_0.20_to_lt_0.30,TRUE,TRUE,TRUE,Conservative_sensitivity_only,,Below the primary raw-score threshold; do not merge into the strict set without labeling.,"Total: 0.25 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_HUMAN,TEXTMINING_MODELS; publications=3; weight=0.2"
