assocID,Disease,Disease_CUI,Gene_Symbol,Entrez_Gene_ID,Ensembl_Gene_ID,Gene_Description,Gene_Type,Raw_GDA_Score,Normalized_Score,N_PMIDs,First_Ref_Year,Last_Ref_Year,EI,DSI,DPI,Evidence_Origin,Has_Human_TextMining,Has_Model_TextMining,Broad_Ischemic_Stroke_Present,Broad_Raw_GDA_Score,Broad_N_PMIDs,Evidence_Tier,Protein_Coding_for_STRING,Human_Literature_Extended_Eligible,Conservative_EI_Eligible,Recommended_Use,Association_Role,Caution,Score_Breakdown
406947_C5392833,Acute Ischemic Stroke,C5392833,MIR155,406947,ENSG00000283904,microRNA 155,ncRNA,0.25,0.1612903225806451,4,2021,2026,1,0.4,0.88,Human_and_model_text_mining,TRUE,TRUE,TRUE,0.2,5,Extended_nonprotein_audit,FALSE,FALSE,FALSE,Noncoding_audit_only,,Non-protein-coding record; exclude from routine STRING protein PPI.,"Total: 0.25 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_HUMAN,TEXTMINING_MODELS; publications=4; weight=0.2"
494336_C5392833,Acute Ischemic Stroke,C5392833,MIR424,494336,ENSG00000284231,microRNA 424,ncRNA,0.25,0.1612903225806451,3,2013,2024,1,0.54,0.75,Human_and_model_text_mining,TRUE,TRUE,TRUE,0.2,2,Extended_nonprotein_audit,FALSE,FALSE,FALSE,Noncoding_audit_only,,Non-protein-coding record; exclude from routine STRING protein PPI.,"Total: 0.25 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_HUMAN,TEXTMINING_MODELS; publications=3; weight=0.2"
60674_C5392833,Acute Ischemic Stroke,C5392833,GAS5,60674,ENSG00000234741,growth arrest specific 5,ncRNA,0.25,0.1612903225806451,2,2022,2025,1,0.48,0.88,Human_and_model_text_mining,TRUE,TRUE,TRUE,0.35,10,Extended_nonprotein_audit,FALSE,FALSE,FALSE,Noncoding_audit_only,,Non-protein-coding record; exclude from routine STRING protein PPI.,"Total: 0.25 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_HUMAN,TEXTMINING_MODELS; publications=2; weight=0.2"
378938_C5392833,Acute Ischemic Stroke,C5392833,MALAT1,378938,ENSG00000251562,metastasis associated lung adenocarcinoma transcript 1,ncRNA,0.25,0.1612903225806451,2,2020,2025,1,0.43,0.88,Human_and_model_text_mining,TRUE,TRUE,TRUE,0.35,13,Extended_nonprotein_audit,FALSE,FALSE,FALSE,Noncoding_audit_only,,Non-protein-coding record; exclude from routine STRING protein PPI.,"Total: 0.25 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_HUMAN,TEXTMINING_MODELS; publications=2; weight=0.2"
406906_C5392833,Acute Ischemic Stroke,C5392833,MIR122,406906,ENSG00000284440,microRNA 122,ncRNA,0.25,0.1612903225806451,2,2014,2021,1,0.48,0.83,Human_and_model_text_mining,TRUE,TRUE,TRUE,0.25,6,Extended_nonprotein_audit,FALSE,FALSE,FALSE,Noncoding_audit_only,,Non-protein-coding record; exclude from routine STRING protein PPI.,"Total: 0.25 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_HUMAN,TEXTMINING_MODELS; publications=2; weight=0.2"
574452_C5392833,Acute Ischemic Stroke,C5392833,MIR494,574452,ENSG00000194717,microRNA 494,ncRNA,0.25,0.1612903225806451,2,2020,2025,1,0.53,0.83,Human_and_model_text_mining,TRUE,TRUE,TRUE,0.35,3,Extended_nonprotein_audit,FALSE,FALSE,FALSE,Noncoding_audit_only,,Non-protein-coding record; exclude from routine STRING protein PPI.,"Total: 0.25 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_HUMAN,TEXTMINING_MODELS; publications=2; weight=0.2"
5820_C5392833,Acute Ischemic Stroke,C5392833,PVT1,5820,ENSG00000249859,Pvt1 oncogene,ncRNA,0.25,0.1612903225806451,2,2020,2022,1,0.47,0.83,Human_and_model_text_mining,TRUE,TRUE,TRUE,0.2,2,Extended_nonprotein_audit,FALSE,FALSE,FALSE,Noncoding_audit_only,,Non-protein-coding record; exclude from routine STRING protein PPI.,"Total: 0.25 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_HUMAN,TEXTMINING_MODELS; publications=2; weight=0.2"
406909_C5392833,Acute Ischemic Stroke,C5392833,MIR124-3,406909,ENSG00000207598,microRNA 124-3,ncRNA,0.2,0.1290322580645161,4,2015,2025,1,0.46,0.88,Human_text_mining_only,TRUE,FALSE,TRUE,0.25,7,Extended_nonprotein_audit,FALSE,FALSE,FALSE,Noncoding_audit_only,,Non-protein-coding record; exclude from routine STRING protein PPI.,Total: 0.2 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=None; count=0; weight=0 | Biobank: none | Literature: sources=TEXTMINING_HUMAN; publications=4; weight=0.2
406938_C5392833,Acute Ischemic Stroke,C5392833,MIR146A,406938,ENSG00000283733,microRNA 146a,ncRNA,0.2,0.1290322580645161,4,2015,2020,1,0.4,0.88,Human_text_mining_only,TRUE,FALSE,TRUE,0.35,15,Extended_nonprotein_audit,FALSE,FALSE,FALSE,Noncoding_audit_only,,Non-protein-coding record; exclude from routine STRING protein PPI.,Total: 0.2 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=None; count=0; weight=0 | Biobank: none | Literature: sources=TEXTMINING_HUMAN; publications=4; weight=0.2
406961_C5392833,Acute Ischemic Stroke,C5392833,MIR185,406961,ENSG00000208023,microRNA 185,ncRNA,0.2,0.1290322580645161,4,2015,2022,1,0.55,0.88,Human_text_mining_only,TRUE,FALSE,TRUE,0.2,2,Extended_nonprotein_audit,FALSE,FALSE,FALSE,Noncoding_audit_only,,Non-protein-coding record; exclude from routine STRING protein PPI.,Total: 0.2 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=None; count=0; weight=0 | Biobank: none | Literature: sources=TEXTMINING_HUMAN; publications=4; weight=0.2
