"Gene_Symbol","logFC_GSE16561","adj.P.Val_GSE16561","logFC_GSE58294","adj.P.Val_GSE58294","Evidence_Class","Replication_Rule"
"ABCA1",0.765977023568492,0.00124249942948084,0.867106835869566,6.32022866960002e-06,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"ABHD5",0.617746952007711,0.000578976722985883,0.643159752173913,0.000122180719223152,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"ACSL1",0.615153697162111,0.0186562716247548,0.567983913043479,0.000246221637933112,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"ADGRE3",0.616191182797873,0.00203996936970055,0.720301304347826,5.40086329919813e-05,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"ADGRG3",0.622397088515846,0.0022819807362219,0.768720404347826,0.000717643259892703,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"ADM",0.923743279250576,1.81574324486362e-05,0.501080869565218,0.00697432885883009,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"AKIRIN2",0.550143702012558,0.000103211009544153,0.52434584057971,2.53684250974363e-06,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"ANKRD22",0.752529344226397,0.00223135120770672,1.85681881304348,4.04051821979955e-08,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"ANTXR2",0.794378330649045,1.33829987973518e-08,0.595561139130435,7.49927657392569e-07,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"ANXA1",0.5147741391898,0.000722164216739537,0.843309347826087,4.45173268388876e-07,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"APMAP",0.557414947062928,0.000786093227959247,0.641420434782607,4.50660776583769e-08,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"ARAP3",0.706600874258592,0.000272766577237052,0.500076739130435,1.48625127818286e-05,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"ARG1",1.39161607620775,0.000148361204746008,1.15494024456522,1.76901625433798e-05,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"ARID3A",0.6678522669622,0.000365256892137816,0.505645982826087,0.000227530874250297,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"BAZ2B",0.851191920408432,2.10825902313112e-06,0.823081739130435,8.17335296469277e-07,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"BEST1",0.577544421336827,0.000323484996288129,0.687256000086957,0.000431536807781273,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"BIRC2",0.692262839691866,3.89937880466092e-05,0.803455652173913,5.63555074490554e-06,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"CA4",1.15571201396765,0.000426054818069566,0.565052817391305,0.0179272811616932,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"CCPG1",0.538777789063317,1.006880110497e-05,0.604943173913044,0.00433207187162558,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"CCR1",0.602272006511494,0.000692427599463378,0.671295,3.63536694559737e-06,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"CD163",0.674801566760739,0.000135742440761148,1.13990750956522,9.09195374987692e-08,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"CD19",-0.615636124783432,0.0121952680149697,-1.08780286956522,1.18295817804522e-05,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"CD27",-0.614961825383884,0.000155996575310221,-0.525534739130435,0.00179705555059556,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"CD55",0.53604554218193,0.00384828732348734,0.552953333333335,0.000180525109962736,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
