"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene_Symbol","Dataset","Contrast","Platform","Age_Sex_Corrected","FDR_lt_0.05","Strict_abs_log2FC_ge_1","Extended_abs_log2FC_ge_0.5"
-2.15514717391304,-4.13607358695652,-15.4511323343702,1.93700878387856e-20,4.03343339067032e-16,35.7715210176014,"POM121L9P","GSE58294","AIS_lt3h_vs_Control","GPL570",FALSE,TRUE,TRUE,TRUE
-1.60584217391304,-4.76082217391304,-13.4855541515159,4.32260082358401e-18,4.50047584747449e-14,30.6744116948786,"ACSM2A","GSE58294","AIS_lt3h_vs_Control","GPL570",FALSE,TRUE,TRUE,TRUE
-2.37145652173913,-4.30664608695652,-13.1981485721257,9.91556202327517e-18,6.8823916003553e-14,29.885594590857,"LOC105377458","GSE58294","AIS_lt3h_vs_Control","GPL570",FALSE,TRUE,TRUE,TRUE
-2.01570304347826,-3.2968297826087,-12.0880927342515,2.70243873332107e-16,1.40682204359862e-12,26.731057642107,"ANXA8","GSE58294","AIS_lt3h_vs_Control","GPL570",FALSE,TRUE,TRUE,TRUE
-1.26749521739131,-3.64242608695652,-11.4879384442132,1.72382594158684e-15,7.17904551633257e-12,24.9535740143903,"ZNF133-AS1","GSE58294","AIS_lt3h_vs_Control","GPL570",FALSE,TRUE,TRUE,TRUE
-1.94672260869565,-3.96721608695652,-11.2941627003416,3.16689704171926e-15,1.09907161832867e-11,24.3688872933942,"LINC02076","GSE58294","AIS_lt3h_vs_Control","GPL570",FALSE,TRUE,TRUE,TRUE
-1.77665260869565,-4.49383326086957,-10.8021630166736,1.51594404056857e-14,3.15665027567593e-11,22.8609352500615,"SHOX","GSE58294","AIS_lt3h_vs_Control","GPL570",FALSE,TRUE,TRUE,TRUE
-1.01743108695652,-3.96836902173913,-10.5212523452926,3.75789903000643e-14,5.58933796441599e-11,21.98507324609,"DIP2C-AS1","GSE58294","AIS_lt3h_vs_Control","GPL570",FALSE,TRUE,TRUE,TRUE
1.15329563478261,0.0861195565217391,10.4783675940168,4.32028606383717e-14,5.99742111381876e-11,21.8504225809183,"DHX32","GSE58294","AIS_lt3h_vs_Control","GPL570",FALSE,TRUE,TRUE,TRUE
-1.64607826521739,-2.19245478043478,-10.056599049285,1.7236218861036e-13,1.81667820561096e-10,20.5131265632583,"TIMM8A","GSE58294","AIS_lt3h_vs_Control","GPL570",FALSE,TRUE,TRUE,TRUE
-1.4352852173913,-4.67890130434783,-9.93108934810157,2.61264019376322e-13,2.36534811977094e-10,20.1106898585561,"LOC93463","GSE58294","AIS_lt3h_vs_Control","GPL570",FALSE,TRUE,TRUE,TRUE
1.02619086956522,1.34183456521739,9.56561936488345,8.86490398121366e-13,5.27411130288034e-10,18.9275011433875,"SUSD1","GSE58294","AIS_lt3h_vs_Control","GPL570",FALSE,TRUE,TRUE,TRUE
1.41383949326087,0.956859977282609,9.53180332704412,9.93361805136861e-13,5.59047915361212e-10,18.8171896975507,"SMIM27","GSE58294","AIS_lt3h_vs_Control","GPL570",FALSE,TRUE,TRUE,TRUE
1.00943125043478,1.69850779217391,9.50225707758017,1.0973501768344e-12,6.01319019269017e-10,18.7206935277156,"CPD","GSE58294","AIS_lt3h_vs_Control","GPL570",FALSE,TRUE,TRUE,TRUE
1.03867730434783,1.65005169565217,9.3146717761202,2.0694078242067e-12,1.04348736659444e-09,18.1056224713266,"PMF1","GSE58294","AIS_lt3h_vs_Control","GPL570",FALSE,TRUE,TRUE,TRUE
1.14079717391304,2.92446380434783,9.28336501504733,2.30138714543246e-12,1.11446010533349e-09,18.0025682922912,"TXN","GSE58294","AIS_lt3h_vs_Control","GPL570",FALSE,TRUE,TRUE,TRUE
1.29285953478261,0.798323702173913,9.25166369916228,2.5630792027572e-12,1.18684310151868e-09,17.8980997300569,"HNRNPL","GSE58294","AIS_lt3h_vs_Control","GPL570",FALSE,TRUE,TRUE,TRUE
1.13276586304348,1.22682729456522,9.25146013170253,2.56485326650054e-12,1.18684310151868e-09,17.8974285192028,"MBOAT2","GSE58294","AIS_lt3h_vs_Control","GPL570",FALSE,TRUE,TRUE,TRUE
-1.52232217391304,-4.55741195652174,-9.18680690535152,3.19594314050823e-12,1.41593880882559e-09,17.6840111523129,"CCDC144CP","GSE58294","AIS_lt3h_vs_Control","GPL570",FALSE,TRUE,TRUE,TRUE
1.12854913043478,2.54429195652174,9.16783908066196,3.40929251725715e-12,1.47899371014262e-09,17.6213089098697,"SLC22A4","GSE58294","AIS_lt3h_vs_Control","GPL570",FALSE,TRUE,TRUE,TRUE
1.28185963043478,-2.46446409782609,9.13765441103769,3.77885706905077e-12,1.57374281497688e-09,17.5214431549477,"C8orf88","GSE58294","AIS_lt3h_vs_Control","GPL570",FALSE,TRUE,TRUE,TRUE
1.00032347826087,3.16576608695652,9.09763521872371,4.33195311891268e-12,1.70196716594564e-09,17.3888822721641,"SHKBP1","GSE58294","AIS_lt3h_vs_Control","GPL570",FALSE,TRUE,TRUE,TRUE
1.154059435,0.401095775978261,8.97892857825283,6.50246608796319e-12,2.2949296838925e-09,16.9946319658395,"CHPF2","GSE58294","AIS_lt3h_vs_Control","GPL570",FALSE,TRUE,TRUE,TRUE
