Search_Rank,MIM_Raw,MIM_ID,Entry_Prefix,Entry_Type,Title,Included_Titles,Cytogenetic_Location,Genomic_Coordinates_GRCh38,Entrez_Gene_ID_Raw,Title_Symbol_Candidate,Is_Gene_Search_Hit,Relation_Class,Mechanism_Tag,Age_Scope,Hemorrhagic_Flag,Venous_Predominant_Flag,Gene_Phenotype_Link_Status,Evidence_Layer,Linked_Gene_Symbols,Gene_Target_Status,Target_Eligible_Strict,Include_Extended_Sensitivity,Decision_Reason,Evidence_URL,Source_File,Search_Term,Download_Date,Search_Truncated,Reported_Hits,Exported_Hits
1,*107741,107741,*,Gene_entry,APOLIPOPROTEIN E; APOE,,19q13.32,19:44905796-44909393,348,APOE,true,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,,Exclude_from_gene_set,false,false,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,,OMIM-MIMATCH_result.xlsx,acute ischemic stroke,2026-07-14,true,2444,1000
2,*612839,612839,*,Gene_entry,TET METHYLCYTOSINE DIOXYGENASE 2; TET2,,4q24,4:105145875-105279803,54790,TET2,true,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,,Exclude_from_gene_set,false,false,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,,OMIM-MIMATCH_result.xlsx,acute ischemic stroke,2026-07-14,true,2444,1000
3,#249270,249270,#,Phenotype_known_molecular_basis,THIAMINE-RESPONSIVE MEGALOBLASTIC ANEMIA SYNDROME; TRMA,,1q24.2,,,,false,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,,Not_a_gene_record,false,false,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,,OMIM-MIMATCH_result.xlsx,acute ischemic stroke,2026-07-14,true,2444,1000
5,606519,606519,,Phenotype_or_other_entry_uncertain,PHACE ASSOCIATION,,,,,,false,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,,Not_a_gene_record,false,false,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,,OMIM-MIMATCH_result.xlsx,acute ischemic stroke,2026-07-14,true,2444,1000
6,#208050,208050,#,Phenotype_known_molecular_basis,ARTERIAL TORTUOSITY SYNDROME; ATORS,,20q13.12,,,,false,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,,Not_a_gene_record,false,false,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,,OMIM-MIMATCH_result.xlsx,acute ischemic stroke,2026-07-14,true,2444,1000
7,*600308,600308,*,Gene_entry,AQUAPORIN 4; AQP4,,18q11.2,18:26852038-26865803,361,AQP4,true,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,,Exclude_from_gene_set,false,false,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,,OMIM-MIMATCH_result.xlsx,acute ischemic stroke,2026-07-14,true,2444,1000
8,#258660,258660,#,Phenotype_known_molecular_basis,"NONARTERITIC ANTERIOR ISCHEMIC OPTIC NEUROPATHY, SUSCEPTIBILITY TO; NAION",,17p13.2,,,,false,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,,Not_a_gene_record,false,false,眼科缺血或视网膜疾病，非AIS；RVCLS白名单除外,,OMIM-MIMATCH_result.xlsx,acute ischemic stroke,2026-07-14,true,2444,1000
9,%613065,613065,%,Phenotype_or_locus_molecular_basis_unknown,"LEUKEMIA, ACUTE LYMPHOBLASTIC; ALL","LEUKEMIA, ACUTE LYMPHOBLASTIC, SUSCEPTIBILITY TO, 1, INCLUDED",10q21,10:51100001-68800000,100310785,,false,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,,Not_a_gene_record,false,false,检索词中的acute等来自血液肿瘤语境，非脑缺血性卒中,,OMIM-MIMATCH_result.xlsx,acute ischemic stroke,2026-07-14,true,2444,1000
11,#601626,601626,#,Phenotype_known_molecular_basis,"LEUKEMIA, ACUTE MYELOID; AML","LEUKEMIA, ACUTE MYELOID, SUSCEPTIBILITY TO, INCLUDED","2p23.3, 3q21.3, 3q27.3-q28, 4q12, 4q12, 5p15.33, 5q35.1, 9p24.1, 9q34.13, 10p12.31, 11q14.2, 12p13.2, 12p12.1, 13q12.2, 19p13.3, 19q13.11, 21q22.12",,,,false,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,,Not_a_gene_record,false,false,检索词中的acute等来自血液肿瘤语境，非脑缺血性卒中,,OMIM-MIMATCH_result.xlsx,acute ischemic stroke,2026-07-14,true,2444,1000
12,*106180,106180,*,Gene_entry,ANGIOTENSIN I-CONVERTING ENZYME; ACE,"ANGIOTENSIN I-CONVERTING ENZYME, TESTICULAR, INCLUDED",17q23.3,17:63477061-63498373,1636,ACE,true,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,,Exclude_from_gene_set,false,false,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,,OMIM-MIMATCH_result.xlsx,acute ischemic stroke,2026-07-14,true,2444,1000
