MIM_Raw,Title,Comparison_Status,Old_Rank_200_export,New_Rank_1000_export,Rank_Shift_New_Minus_Old,Field_Values_Changed
*107741,APOLIPOPROTEIN E; APOE,Shared,1,1,0,false
*612839,TET METHYLCYTOSINE DIOXYGENASE 2; TET2,Shared,2,2,0,false
#249270,THIAMINE-RESPONSIVE MEGALOBLASTIC ANEMIA SYNDROME; TRMA,Shared,3,3,0,false
#601367,"STROKE, ISCHEMIC",Shared,4,4,0,false
606519,PHACE ASSOCIATION,Shared,5,5,0,false
#208050,ARTERIAL TORTUOSITY SYNDROME; ATORS,Shared,6,6,0,false
*600308,AQUAPORIN 4; AQP4,Shared,7,7,0,false
#258660,"NONARTERITIC ANTERIOR ISCHEMIC OPTIC NEUROPATHY, SUSCEPTIBILITY TO; NAION",Shared,8,8,0,false
%613065,"LEUKEMIA, ACUTE LYMPHOBLASTIC; ALL",Shared,9,9,0,false
#615688,"VASCULITIS, AUTOINFLAMMATION, IMMUNODEFICIENCY, AND HEMATOLOGIC DEFECTS SYNDROME; VAIHS",Shared,10,10,0,false
#601626,"LEUKEMIA, ACUTE MYELOID; AML",Shared,11,11,0,false
*106180,ANGIOTENSIN I-CONVERTING ENZYME; ACE,Shared,12,12,0,false
#125310,"CEREBRAL ARTERIOPATHY, AUTOSOMAL DOMINANT, WITH SUBCORTICAL INFARCTS AND LEUKOENCEPHALOPATHY, TYPE 1; CADASIL1",Shared,13,13,0,false
#608805,"AVASCULAR NECROSIS OF FEMORAL HEAD, PRIMARY, 1; ANFH1",Shared,14,14,0,false
*612276,YRDC DOMAIN-CONTAINING PROTEIN; YRDC,Shared,15,15,0,false
#614519,"HEMORRHAGE, INTRACEREBRAL, SUSCEPTIBILITY TO; ICH",Shared,16,16,0,false
#540000,"MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, LACTIC ACIDOSIS, AND STROKE-LIKE EPISODES; MELAS",Shared,17,17,0,false
%606799,"STROKE, SUSCEPTIBILITY TO, 1",Shared,18,18,0,false
#176000,"PORPHYRIA, ACUTE INTERMITTENT; AIP",Shared,19,19,0,false
#268200,"MYOGLOBINURIA, ACUTE RECURRENT, AUTOSOMAL RECESSIVE",Shared,21,20,-1,false
#608033,"ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED, SUSCEPTIBILITY TO, 3; IIAE3",Shared,22,21,-1,false
#612376,ACUTE PROMYELOCYTIC LEUKEMIA; APL,Shared,20,22,2,false
#620461,"ENCEPHALITIS, ACUTE, INFECTION-INDUCED, SUSCEPTIBILITY TO, 12; IIAE12",Shared,23,23,0,false
%613067,"LEUKEMIA, ACUTE LYMPHOBLASTIC, SUSCEPTIBILITY TO, 2; ALL2",Shared,24,24,0,false
*603350,"2-PRIME,5-PRIME-OLIGOADENYLATE SYNTHETASE 2; OAS2",Shared,25,25,0,false
