Search_Rank,MIM_Raw,MIM_ID,Entry_Prefix,Title,Included_Titles,Relation_Class,Mechanism_Tag,Age_Scope,Hemorrhagic_Flag,Venous_Predominant_Flag,Gene_Phenotype_Link_Status,Linked_Gene_Symbols,Target_Eligible_Strict,Decision,Reason,Evidence_URL
3,#249270,249270,#,THIAMINE-RESPONSIVE MEGALOBLASTIC ANEMIA SYNDROME; TRMA,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
4,#601367,601367,#,"STROKE, ISCHEMIC",,Primary_evidence_record,direct_ischemic,Adult/unspecified,false,false,verified_phenotype_gene_link,ALOX5AP;F2;F5,false,Retain_as_evidence_record,保留为预设AIS证据记录；是否可产出靶点由gene–phenotype链路字段决定,https://www.ncbi.nlm.nih.gov/medgen/215292
5,606519,606519,,PHACE ASSOCIATION,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
6,#208050,208050,#,ARTERIAL TORTUOSITY SYNDROME; ATORS,,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,
8,#258660,258660,#,"NONARTERITIC ANTERIOR ISCHEMIC OPTIC NEUROPATHY, SUSCEPTIBILITY TO; NAION",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,眼科缺血或视网膜疾病，非AIS；RVCLS白名单除外,
9,%613065,613065,%,"LEUKEMIA, ACUTE LYMPHOBLASTIC; ALL","LEUKEMIA, ACUTE LYMPHOBLASTIC, SUSCEPTIBILITY TO, 1, INCLUDED",Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,检索词中的acute等来自血液肿瘤语境，非脑缺血性卒中,
10,#615688,615688,#,"VASCULITIS, AUTOINFLAMMATION, IMMUNODEFICIENCY, AND HEMATOLOGIC DEFECTS SYNDROME; VAIHS",,Extended_etiologic_record,vasculitis,Pediatric/mixed,true,false,verified_phenotype_gene_link,ADA2,false,Retain_as_evidence_record,保留为预设AIS证据记录；是否可产出靶点由gene–phenotype链路字段决定,https://www.ncbi.nlm.nih.gov/gene/51816
11,#601626,601626,#,"LEUKEMIA, ACUTE MYELOID; AML","LEUKEMIA, ACUTE MYELOID, SUSCEPTIBILITY TO, INCLUDED",Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,检索词中的acute等来自血液肿瘤语境，非脑缺血性卒中,
13,#125310,125310,#,"CEREBRAL ARTERIOPATHY, AUTOSOMAL DOMINANT, WITH SUBCORTICAL INFARCTS AND LEUKOENCEPHALOPATHY, TYPE 1; CADASIL1",,Primary_evidence_record,arteriopathy,Adult,false,false,verified_phenotype_gene_link,NOTCH3,false,Retain_as_evidence_record,保留为预设AIS证据记录；是否可产出靶点由gene–phenotype链路字段决定,https://www.ncbi.nlm.nih.gov/books/NBK1500/
14,#608805,608805,#,"AVASCULAR NECROSIS OF FEMORAL HEAD, PRIMARY, 1; ANFH1",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,非脑动脉缺血性疾病,
16,#614519,614519,#,"HEMORRHAGE, INTRACEREBRAL, SUSCEPTIBILITY TO; ICH",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,以出血性脑血管病或血管畸形为主，排除AIS主线,
17,#540000,540000,#,"MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, LACTIC ACIDOSIS, AND STROKE-LIKE EPISODES; MELAS",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,线粒体卒中样发作并非动脉缺血性卒中,
18,%606799,606799,%,"STROKE, SUSCEPTIBILITY TO, 1",,Primary_evidence_record,direct_ischemic,Not_assigned,false,false,locus_or_molecular_basis_unresolved,,false,Retain_as_evidence_record,%前缀表型直接涉及卒中，但分子基础未明确，不产生严格疾病靶点,
19,#176000,176000,#,"PORPHYRIA, ACUTE INTERMITTENT; AIP","PORPHYRIA, ACUTE INTERMITTENT, NONERYTHROID VARIANT, INCLUDED",Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,非脑动脉缺血性疾病,
20,#268200,268200,#,"MYOGLOBINURIA, ACUTE RECURRENT, AUTOSOMAL RECESSIVE",,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,false,Exclude,非脑动脉缺血性疾病,
