Disease_ID,Disease_Name,Evidence_Class,Source_Database,Gene_Symbol,Ensembl_ID,Target_Name,Overall_Association_Score,Source_Score,Direct_Association,Species,Retrieval_Date
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,F2,ENSG00000180210,"coagulation factor II, thrombin",0.6762052247063238,0.5439188314878017,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,F5,ENSG00000198734,coagulation factor V,0.6713915526669039,0.5630281293088261,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,SH2B3,ENSG00000111252,SH2B adaptor protein 3,0.5769956330052645,0.9310289063449296,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,NLRP3,ENSG00000162711,NLR family pyrin domain containing 3,0.5735761152458392,0.35374217658233076,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,VWF,ENSG00000110799,von Willebrand factor,0.5642519778104502,0.6498832440373213,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,F11,ENSG00000088926,coagulation factor XI,0.5555852209229372,0.7768807390856127,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,ABO,ENSG00000175164,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase",0.5537387667783089,0.8138131870899978,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,PDE3A,ENSG00000172572,phosphodiesterase 3A,0.5195313395625717,0.6349797462597956,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,SERPINE1,ENSG00000106366,serpin family E member 1,0.5145756155114828,0.4700401563340183,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,PROCR,ENSG00000101000,protein C receptor,0.5030551286563123,0.7929861746638032,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,ALDH2,ENSG00000111275,aldehyde dehydrogenase 2 family member,0.48993489573652577,0.6914120227260947,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,PITX2,ENSG00000164093,paired like homeodomain 2,0.47572672994902326,0.7580823375249873,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,COL4A2,ENSG00000134871,collagen type IV alpha 2 chain,0.4552393546764882,0.7153979768379412,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,FOXF2,ENSG00000137273,forkhead box F2,0.4523417865295523,0.6973619189030349,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,MMP12,ENSG00000262406,matrix metallopeptidase 12,0.4480167678508534,0.628056591775066,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,FGF5,ENSG00000138675,fibroblast growth factor 5,0.4467502288407582,0.6977475846349708,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,SH3PXD2A,ENSG00000107957,SH3 and PX domains 2A,0.4464557818972715,0.7343858604486945,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,GRK5,ENSG00000198873,G protein-coupled receptor kinase 5,0.44601045535079636,0.7290938511126818,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,LDLR,ENSG00000130164,low density lipoprotein receptor,0.4362427825129282,0.5835654319193863,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,FGA,ENSG00000171560,fibrinogen alpha chain,0.4264988504362474,0.622157109242237,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,HECTD4,ENSG00000173064,HECT domain E3 ubiquitin protein ligase 4,0.42424207433715444,0.6727688528665392,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,IL1RN,ENSG00000136689,interleukin 1 receptor antagonist,0.42113522935414405,0.5876273951486529,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,CASZ1,ENSG00000130940,castor zinc finger 1,0.403252538615371,0.6466439262884178,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,CXCL8,ENSG00000169429,C-X-C motif chemokine ligand 8,0.3951970261755561,0.5407345645211181,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,FURIN,ENSG00000140564,"furin, paired basic amino acid cleaving enzyme",0.39440595063231776,0.6293056113161075,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,NOS3,ENSG00000164867,nitric oxide synthase 3,0.39238492026469834,0.40906381915900153,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,SWAP70,ENSG00000133789,switching B cell complex subunit SWAP70,0.3913197446838919,0.6288412896288504,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,IL6R,ENSG00000160712,interleukin 6 receptor,0.3847362586644674,0.4096277159981691,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,FGB,ENSG00000171564,fibrinogen beta chain,0.38108707136191394,0.5354853905463814,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,CDKN2B,ENSG00000147883,cyclin dependent kinase inhibitor 2B,0.38074960943756453,0.5713835896709125,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,CUX2,ENSG00000111249,cut like homeobox 2,0.38027718533165095,0.6186878727712252,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,COL4A1,ENSG00000187498,collagen type IV alpha 1 chain,0.37862984417067597,0.5802313397189506,True,Homo sapiens,2026-07-15
