Gene_Symbol,Gene_Name,Entrez_Gene_ID,Ensembl_Gene_ID,Evidence_Tier,In_Strict_28,In_Primary_81,In_MediumExtended_176,In_BroadSensitivity_430,Primary_Source_Databases,Primary_Source_Count,Medium_Source_Databases,Medium_Source_Count,Broad_Source_Databases,Broad_Source_Count,GeneCards_Strict_ge5,GeneCards_Main_ge3,GeneCards_Broad_ge0.9,OMIM_UltraStrict,OMIM_Primary,OMIM_PrimaryPlusExtended,DisGeNET_Primary_raw_ge0.30,DisGeNET_Conservative_EI_ge0.80,DisGeNET_HumanLiterature,GeneCards_Relevance_Score,GeneCards_Knowledge_Score,OMIM_Gene_MIM_ID,OMIM_Phenotype_MIM_IDs,OMIM_Evidence_Layers,OMIM_Mechanism_Tags,DisGeNET_Raw_GDA_Score,DisGeNET_EI,DisGeNET_N_PMIDs,Interpretation_Note
A2M,Alpha-2-Macroglobulin,2,ENSG00000175899,MediumExtended,False,False,True,True,,0,DisGeNET,1,GeneCards;DisGeNET,2,False,False,True,False,False,False,False,True,True,1.3100295,91.0,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ABCB1,ATP Binding Cassette Subfamily B Member 1,,,Primary,False,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,False,True,True,False,False,False,False,False,False,3.120679,100.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ABCB5,ATP Binding Cassette Subfamily B Member 5,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.8315511,73.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ABCC8,ATP Binding Cassette Subfamily C Member 8,,,Primary,False,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,False,True,True,False,False,False,False,False,False,3.0830133,99.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ACE,Angiotensin I Converting Enzyme,1636,ENSG00000159640,Primary,False,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,False,True,True,False,False,False,False,True,True,3.3120809,100.0,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ACE2,Angiotensin Converting Enzyme 2,59272,ENSG00000130234,Primary,False,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,False,True,True,False,False,False,False,True,True,3.5613837,89.0,,,,,0.25,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ACKR3,Atypical Chemokine Receptor 3,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,2.4548626,81.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ACSL4,acyl-CoA synthetase long chain family member 4,2182,ENSG00000068366,MediumExtended,False,False,True,True,,0,DisGeNET,1,DisGeNET,1,False,False,False,False,False,False,False,True,True,,,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ACTA2,"Actin Alpha 2, Smooth Muscle",59,,MediumExtended,False,False,True,True,,0,OMIM,1,GeneCards;OMIM,2,False,False,True,False,False,True,False,False,False,1.7399148,100.0,102620,613834;614042,Extended_Etiologic,arteriopathy;moyamoya,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ACVRL1,Activin A Receptor Like Type 1,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.3140942,98.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ADA,Adenosine Deaminase,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.3365415,100.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ADA2,Adenosine Deaminase 2,51816,,MediumExtended,False,False,True,True,,0,OMIM,1,GeneCards;OMIM,2,False,False,True,False,False,True,False,False,False,1.3140942,81.0,607575,615688,Extended_Etiologic,vasculitis,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ADAM23,ADAM Metallopeptidase Domain 23,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.8315511,73.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ADAMTS13,ADAM Metallopeptidase With Thrombospondin Type 1 Motif 13,11093,ENSG00000160323,Strict,True,True,True,True,GeneCards,1,GeneCards;OMIM,2,GeneCards;OMIM;DisGeNET,3,True,True,True,False,False,True,False,False,True,7.103341,97.0,604134,274150,Extended_Etiologic,microangiopathy,0.2,0.7142857142857143,7,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ADAMTS9,ADAM Metallopeptidase With Thrombospondin Type 1 Motif 9,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.3365415,89.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ADIPOQ,"Adiponectin, C1Q And Collagen Domain Containing",,,Primary,False,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,False,True,True,False,False,False,False,False,False,3.618697,85.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ADM,Adrenomedullin,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,2.4575639,79.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ADORA3,adenosine A3 receptor,140,ENSG00000282608,MediumExtended,False,False,True,True,,0,DisGeNET,1,DisGeNET,1,False,False,False,False,False,False,False,True,True,,,,,,,0.25,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ADRA2A,Adrenoceptor Alpha 2A,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.3100295,86.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
AGER,Advanced Glycosylation End-Product Specific Receptor,177,ENSG00000204305,MediumExtended,False,False,True,True,,0,DisGeNET,1,GeneCards;DisGeNET,2,False,False,True,False,False,False,False,True,True,2.5902042,94.0,,,,,0.2,1.0,3,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
AHR,Aryl Hydrocarbon Receptor,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.6111301,100.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
AHSG,Alpha 2-HS Glycoprotein,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,2.3086674,85.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ALB,Albumin,213,ENSG00000163631,Strict,True,True,True,True,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,True,True,True,False,False,False,True,True,True,10.213423,100.0,,,,,0.3,1.0,19,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ALCAM,Activated Leukocyte Cell Adhesion Molecule,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.7358501,82.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ALOX12,"Arachidonate 12-Lipoxygenase, 12S Type",,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.8315511,88.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ALOX5AP,Arachidonate 5-lipoxygenase activating protein,241,,Strict,True,True,True,True,OMIM,1,OMIM,1,OMIM,1,False,False,False,True,True,True,False,False,False,,,603700,601367,UltraStrict_Direct_AIS,direct_ischemic,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ALPL,"alkaline phosphatase, biomineralization associated",249,ENSG00000162551,MediumExtended,False,False,True,True,,0,DisGeNET,1,DisGeNET,1,False,False,False,False,False,False,False,True,True,,,,,,,0.2,1.0,3,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ANGPTL4,Angiopoietin Like 4,51129,ENSG00000167772,MediumExtended,False,False,True,True,,0,DisGeNET,1,GeneCards;DisGeNET,2,False,False,True,False,False,False,False,True,True,2.374183,81.0,,,,,0.25,1.0,3,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ANO1,Anoctamin 1,55107,,MediumExtended,False,False,True,True,,0,OMIM,1,OMIM,1,False,False,False,False,False,True,False,False,False,,,610108,620687,Extended_Etiologic,moyamoya,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ANXA5,Annexin A5,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,2.5902042,84.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
AP3D1,Adaptor Related Protein Complex 3 Subunit Delta 1,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.6111301,90.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
APAF1,Apoptotic Peptidase Activating Factor 1,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.0354409,94.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
APCS,"Amyloid P Component, Serum",,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,2.0475724,74.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
APLN,Apelin,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,2.278482,67.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
APOA1,Apolipoprotein A1,,,Strict,True,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,True,True,True,False,False,False,False,False,False,5.007799,100.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
APOB,Apolipoprotein B,338,ENSG00000084674,BroadSensitivity,False,False,False,True,,0,,0,GeneCards;DisGeNET,2,False,False,True,False,False,False,False,False,True,2.6492987,100.0,,,,,0.2,0.6666666666666666,3,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
APOC3,Apolipoprotein C3,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.7358501,89.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
APOE,Apolipoprotein E,348,ENSG00000130203,Primary,False,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,False,True,True,False,False,False,False,True,True,4.251947,100.0,,,,,0.2,0.8333333333333334,6,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
AQP4,Aquaporin 4,361,ENSG00000171885,Primary,False,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,False,True,True,False,False,False,False,True,True,4.5588017,78.0,,,,,0.25,1.0,3,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ARG1,Arginase 1,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.7358501,100.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ARHGEF15,Rho guanine nucleotide exchange factor 15,22899,,Primary,False,True,True,True,OMIM,1,OMIM,1,OMIM,1,False,False,False,False,True,True,False,False,False,,,608504,621331,Primary_Adult_Monogenic,arteriopathy,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ASXL2,ASXL Transcriptional Regulator 2,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.6111301,84.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ATG5,Autophagy Related 5,,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.6111301,88.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ATP10A,ATPase Phospholipid Transporting 10A (Putative),,,BroadSensitivity,False,False,False,True,,0,,0,GeneCards,1,False,False,True,False,False,False,False,False,False,1.6111301,84.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
