Gene_Symbol,Gene_Name,Entrez_Gene_ID,Ensembl_Gene_ID,Evidence_Tier,In_Strict_28,In_Primary_81,In_MediumExtended_176,In_BroadSensitivity_430,Primary_Source_Databases,Primary_Source_Count,Medium_Source_Databases,Medium_Source_Count,Broad_Source_Databases,Broad_Source_Count,GeneCards_Strict_ge5,GeneCards_Main_ge3,GeneCards_Broad_ge0.9,OMIM_UltraStrict,OMIM_Primary,OMIM_PrimaryPlusExtended,DisGeNET_Primary_raw_ge0.30,DisGeNET_Conservative_EI_ge0.80,DisGeNET_HumanLiterature,GeneCards_Relevance_Score,GeneCards_Knowledge_Score,OMIM_Gene_MIM_ID,OMIM_Phenotype_MIM_IDs,OMIM_Evidence_Layers,OMIM_Mechanism_Tags,DisGeNET_Raw_GDA_Score,DisGeNET_EI,DisGeNET_N_PMIDs,Interpretation_Note
A2M,Alpha-2-Macroglobulin,2,ENSG00000175899,MediumExtended,False,False,True,True,,0,DisGeNET,1,GeneCards;DisGeNET,2,False,False,True,False,False,False,False,True,True,1.3100295,91.0,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ABCB1,ATP Binding Cassette Subfamily B Member 1,,,Primary,False,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,False,True,True,False,False,False,False,False,False,3.120679,100.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ABCC8,ATP Binding Cassette Subfamily C Member 8,,,Primary,False,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,False,True,True,False,False,False,False,False,False,3.0830133,99.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ACE,Angiotensin I Converting Enzyme,1636,ENSG00000159640,Primary,False,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,False,True,True,False,False,False,False,True,True,3.3120809,100.0,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ACE2,Angiotensin Converting Enzyme 2,59272,ENSG00000130234,Primary,False,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,False,True,True,False,False,False,False,True,True,3.5613837,89.0,,,,,0.25,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ACSL4,acyl-CoA synthetase long chain family member 4,2182,ENSG00000068366,MediumExtended,False,False,True,True,,0,DisGeNET,1,DisGeNET,1,False,False,False,False,False,False,False,True,True,,,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ACTA2,"Actin Alpha 2, Smooth Muscle",59,,MediumExtended,False,False,True,True,,0,OMIM,1,GeneCards;OMIM,2,False,False,True,False,False,True,False,False,False,1.7399148,100.0,102620,613834;614042,Extended_Etiologic,arteriopathy;moyamoya,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ADA2,Adenosine Deaminase 2,51816,,MediumExtended,False,False,True,True,,0,OMIM,1,GeneCards;OMIM,2,False,False,True,False,False,True,False,False,False,1.3140942,81.0,607575,615688,Extended_Etiologic,vasculitis,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ADAMTS13,ADAM Metallopeptidase With Thrombospondin Type 1 Motif 13,11093,ENSG00000160323,Strict,True,True,True,True,GeneCards,1,GeneCards;OMIM,2,GeneCards;OMIM;DisGeNET,3,True,True,True,False,False,True,False,False,True,7.103341,97.0,604134,274150,Extended_Etiologic,microangiopathy,0.2,0.7142857142857143,7,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ADIPOQ,"Adiponectin, C1Q And Collagen Domain Containing",,,Primary,False,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,False,True,True,False,False,False,False,False,False,3.618697,85.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ADORA3,adenosine A3 receptor,140,ENSG00000282608,MediumExtended,False,False,True,True,,0,DisGeNET,1,DisGeNET,1,False,False,False,False,False,False,False,True,True,,,,,,,0.25,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
AGER,Advanced Glycosylation End-Product Specific Receptor,177,ENSG00000204305,MediumExtended,False,False,True,True,,0,DisGeNET,1,GeneCards;DisGeNET,2,False,False,True,False,False,False,False,True,True,2.5902042,94.0,,,,,0.2,1.0,3,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ALB,Albumin,213,ENSG00000163631,Strict,True,True,True,True,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,True,True,True,False,False,False,True,True,True,10.213423,100.0,,,,,0.3,1.0,19,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ALOX5AP,Arachidonate 5-lipoxygenase activating protein,241,,Strict,True,True,True,True,OMIM,1,OMIM,1,OMIM,1,False,False,False,True,True,True,False,False,False,,,603700,601367,UltraStrict_Direct_AIS,direct_ischemic,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ALPL,"alkaline phosphatase, biomineralization associated",249,ENSG00000162551,MediumExtended,False,False,True,True,,0,DisGeNET,1,DisGeNET,1,False,False,False,False,False,False,False,True,True,,,,,,,0.2,1.0,3,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ANGPTL4,Angiopoietin Like 4,51129,ENSG00000167772,MediumExtended,False,False,True,True,,0,DisGeNET,1,GeneCards;DisGeNET,2,False,False,True,False,False,False,False,True,True,2.374183,81.0,,,,,0.25,1.0,3,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ANO1,Anoctamin 1,55107,,MediumExtended,False,False,True,True,,0,OMIM,1,OMIM,1,False,False,False,False,False,True,False,False,False,,,610108,620687,Extended_Etiologic,moyamoya,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
APOA1,Apolipoprotein A1,,,Strict,True,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,True,True,True,False,False,False,False,False,False,5.007799,100.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
APOE,Apolipoprotein E,348,ENSG00000130203,Primary,False,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,False,True,True,False,False,False,False,True,True,4.251947,100.0,,,,,0.2,0.8333333333333334,6,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
AQP4,Aquaporin 4,361,ENSG00000171885,Primary,False,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,False,True,True,False,False,False,False,True,True,4.5588017,78.0,,,,,0.25,1.0,3,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ARHGEF15,Rho guanine nucleotide exchange factor 15,22899,,Primary,False,True,True,True,OMIM,1,OMIM,1,OMIM,1,False,False,False,False,True,True,False,False,False,,,608504,621331,Primary_Adult_Monogenic,arteriopathy,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
AVP,Arginine Vasopressin,551,ENSG00000101200,Strict,True,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,True,True,True,False,False,False,False,True,True,6.224776,89.0,,,,,0.2,1.0,9,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
BDNF,Brain Derived Neurotrophic Factor,627,ENSG00000176697,Strict,True,True,True,True,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,True,True,True,False,False,False,True,True,True,8.27195,100.0,,,,,0.3,0.8181818181818182,11,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
BRCC3,BRCA1/BRCA2-Containing Complex Subunit 3,79184,,MediumExtended,False,False,True,True,,0,OMIM,1,GeneCards;OMIM,2,False,False,True,False,False,True,False,False,False,1.3140942,83.0,300617,300845,Extended_Etiologic,moyamoya,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
C3,Complement C3,,,Primary,False,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,False,True,True,False,False,False,False,False,False,3.0656753,100.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
C4B,Complement C4B (Chido/Rodgers Blood Group),721,ENSG00000224389,MediumExtended,False,False,True,True,,0,DisGeNET,1,GeneCards;DisGeNET,2,False,False,True,False,False,False,False,True,True,2.7043025,90.0,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CALCA,Calcitonin Related Polypeptide Alpha,796,ENSG00000110680,MediumExtended,False,False,True,True,,0,DisGeNET,1,GeneCards;DisGeNET,2,False,False,True,False,False,False,False,True,True,2.9423192,80.0,,,,,0.2,1.0,4,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CASP3,Caspase 3,,,Primary,False,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,False,True,True,False,False,False,False,False,False,4.878299,91.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CAV1,Caveolin 1,,,Primary,False,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,False,True,True,False,False,False,False,False,False,3.7809563,97.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CBS,Cystathionine beta-synthase,875,,MediumExtended,False,False,True,True,,0,OMIM,1,OMIM,1,False,False,False,False,False,True,False,False,False,,,613381,236200,Extended_Etiologic,metabolic_thrombosis,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CCL2,C-C Motif Chemokine Ligand 2,,,Primary,False,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,False,True,True,False,False,False,False,False,False,3.881479,87.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CD163,CD163 molecule,9332,ENSG00000177575,MediumExtended,False,False,True,True,,0,DisGeNET,1,DisGeNET,1,False,False,False,False,False,False,False,True,True,,,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CD34,CD34 molecule,947,ENSG00000174059,MediumExtended,False,False,True,True,,0,DisGeNET,1,DisGeNET,1,False,False,False,False,False,False,False,True,True,,,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CHI3L1,Chitinase 3 Like 1,1116,ENSG00000133048,Primary,False,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,False,True,True,False,False,False,False,True,True,4.7784796,79.0,,,,,0.2,1.0,7,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CLDN5,Claudin 5,,,Primary,False,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,False,True,True,False,False,False,False,False,False,4.842616,76.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
COL4A1,Collagen Type IV Alpha 1 Chain,1282,,MediumExtended,False,False,True,True,,0,OMIM,1,GeneCards;OMIM,2,False,False,True,False,False,True,False,False,False,1.7399148,97.0,120130,175780;611773,Extended_Etiologic,mixed_small_vessel,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CORT,cortistatin,1325,ENSG00000241563,MediumExtended,False,False,True,True,,0,DisGeNET,1,DisGeNET,1,False,False,False,False,False,False,False,True,True,,,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CPB2,Carboxypeptidase B2,1361,ENSG00000080618,Primary,False,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,False,True,True,False,False,False,False,True,True,3.3885136,82.0,,,,,0.2,1.0,3,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CRP,C-Reactive Protein,1401,ENSG00000132693,Strict,True,True,True,True,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,True,True,True,False,False,False,True,True,True,21.152647,87.0,,,,,0.3,0.9210526315789472,38,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CSF2,colony stimulating factor 2,1437,ENSG00000164400,MediumExtended,False,False,True,True,,0,DisGeNET,1,DisGeNET,1,False,False,False,False,False,False,False,True,True,,,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CSF3,Colony Stimulating Factor 3,1440,ENSG00000108342,MediumExtended,False,False,True,True,,0,DisGeNET,1,GeneCards;DisGeNET,2,False,False,True,False,False,False,False,True,True,1.8315511,83.0,,,,,0.2,0.8,5,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
