Gene_Symbol,Gene_Name,Entrez_Gene_ID,Ensembl_Gene_ID,Evidence_Tier,In_Strict_28,In_Primary_81,In_MediumExtended_176,In_BroadSensitivity_430,Primary_Source_Databases,Primary_Source_Count,Medium_Source_Databases,Medium_Source_Count,Broad_Source_Databases,Broad_Source_Count,GeneCards_Strict_ge5,GeneCards_Main_ge3,GeneCards_Broad_ge0.9,OMIM_UltraStrict,OMIM_Primary,OMIM_PrimaryPlusExtended,DisGeNET_Primary_raw_ge0.30,DisGeNET_Conservative_EI_ge0.80,DisGeNET_HumanLiterature,GeneCards_Relevance_Score,GeneCards_Knowledge_Score,OMIM_Gene_MIM_ID,OMIM_Phenotype_MIM_IDs,OMIM_Evidence_Layers,OMIM_Mechanism_Tags,DisGeNET_Raw_GDA_Score,DisGeNET_EI,DisGeNET_N_PMIDs,Interpretation_Note
ABCB1,ATP Binding Cassette Subfamily B Member 1,,,Primary,False,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,False,True,True,False,False,False,False,False,False,3.120679,100.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ABCC8,ATP Binding Cassette Subfamily C Member 8,,,Primary,False,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,False,True,True,False,False,False,False,False,False,3.0830133,99.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ACE,Angiotensin I Converting Enzyme,1636,ENSG00000159640,Primary,False,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,False,True,True,False,False,False,False,True,True,3.3120809,100.0,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ACE2,Angiotensin Converting Enzyme 2,59272,ENSG00000130234,Primary,False,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,False,True,True,False,False,False,False,True,True,3.5613837,89.0,,,,,0.25,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ADAMTS13,ADAM Metallopeptidase With Thrombospondin Type 1 Motif 13,11093,ENSG00000160323,Strict,True,True,True,True,GeneCards,1,GeneCards;OMIM,2,GeneCards;OMIM;DisGeNET,3,True,True,True,False,False,True,False,False,True,7.103341,97.0,604134,274150,Extended_Etiologic,microangiopathy,0.2,0.7142857142857143,7,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ADIPOQ,"Adiponectin, C1Q And Collagen Domain Containing",,,Primary,False,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,False,True,True,False,False,False,False,False,False,3.618697,85.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ALB,Albumin,213,ENSG00000163631,Strict,True,True,True,True,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,True,True,True,False,False,False,True,True,True,10.213423,100.0,,,,,0.3,1.0,19,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ALOX5AP,Arachidonate 5-lipoxygenase activating protein,241,,Strict,True,True,True,True,OMIM,1,OMIM,1,OMIM,1,False,False,False,True,True,True,False,False,False,,,603700,601367,UltraStrict_Direct_AIS,direct_ischemic,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
APOA1,Apolipoprotein A1,,,Strict,True,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,True,True,True,False,False,False,False,False,False,5.007799,100.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
APOE,Apolipoprotein E,348,ENSG00000130203,Primary,False,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,False,True,True,False,False,False,False,True,True,4.251947,100.0,,,,,0.2,0.8333333333333334,6,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
AQP4,Aquaporin 4,361,ENSG00000171885,Primary,False,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,False,True,True,False,False,False,False,True,True,4.5588017,78.0,,,,,0.25,1.0,3,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ARHGEF15,Rho guanine nucleotide exchange factor 15,22899,,Primary,False,True,True,True,OMIM,1,OMIM,1,OMIM,1,False,False,False,False,True,True,False,False,False,,,608504,621331,Primary_Adult_Monogenic,arteriopathy,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
AVP,Arginine Vasopressin,551,ENSG00000101200,Strict,True,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,True,True,True,False,False,False,False,True,True,6.224776,89.0,,,,,0.2,1.0,9,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
BDNF,Brain Derived Neurotrophic Factor,627,ENSG00000176697,Strict,True,True,True,True,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,True,True,True,False,False,False,True,True,True,8.27195,100.0,,,,,0.3,0.8181818181818182,11,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
C3,Complement C3,,,Primary,False,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,False,True,True,False,False,False,False,False,False,3.0656753,100.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CASP3,Caspase 3,,,Primary,False,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,False,True,True,False,False,False,False,False,False,4.878299,91.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CAV1,Caveolin 1,,,Primary,False,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,False,True,True,False,False,False,False,False,False,3.7809563,97.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CCL2,C-C Motif Chemokine Ligand 2,,,Primary,False,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,False,True,True,False,False,False,False,False,False,3.881479,87.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CHI3L1,Chitinase 3 Like 1,1116,ENSG00000133048,Primary,False,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,False,True,True,False,False,False,False,True,True,4.7784796,79.0,,,,,0.2,1.0,7,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CLDN5,Claudin 5,,,Primary,False,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,False,True,True,False,False,False,False,False,False,4.842616,76.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CPB2,Carboxypeptidase B2,1361,ENSG00000080618,Primary,False,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,False,True,True,False,False,False,False,True,True,3.3885136,82.0,,,,,0.2,1.0,3,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CRP,C-Reactive Protein,1401,ENSG00000132693,Strict,True,True,True,True,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,True,True,True,False,False,False,True,True,True,21.152647,87.0,,,,,0.3,0.9210526315789472,38,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CST3,Cystatin C,1471,ENSG00000101439,Strict,True,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,True,True,True,False,False,False,False,True,True,6.0733933,79.0,,,,,0.25,1.0,4,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CXCL12,C-X-C Motif Chemokine Ligand 12,6387,ENSG00000107562,Primary,False,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,False,True,True,False,False,False,False,True,True,3.618697,92.0,,,,,0.2,1.0,3,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CXCR4,C-X-C Motif Chemokine Receptor 4,,,Primary,False,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,False,True,True,False,False,False,False,False,False,3.0656753,100.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CYP2C19,Cytochrome P450 Family 2 Subfamily C Member 19,1557,ENSG00000165841,Strict,True,True,True,True,GeneCards,1,GeneCards,1,GeneCards;DisGeNET,2,True,True,True,False,False,False,False,False,True,5.4051743,92.0,,,,,0.2,0.5,4,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ENG,Endoglin,,,Primary,False,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,False,True,True,False,False,False,False,False,False,3.2974052,98.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ENO1,Enolase 1,,,Strict,True,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,True,True,True,False,False,False,False,False,False,7.8742743,92.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
F2,"Coagulation Factor II, Thrombin",2147,ENSG00000180210,Strict,True,True,True,True,OMIM,1,OMIM,1,GeneCards;OMIM;DisGeNET,3,False,False,True,True,True,True,False,False,True,2.5259428,100.0,176930,601367,UltraStrict_Direct_AIS,direct_ischemic,0.2,0.6666666666666666,3,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
F5,Coagulation Factor V,2153,,Strict,True,True,True,True,OMIM,1,OMIM,1,GeneCards;OMIM,2,False,False,True,True,True,True,False,False,False,2.374183,99.0,612309,601367;188055,UltraStrict_Direct_AIS;Extended_Etiologic,direct_ischemic;thrombophilia,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
FABP4,Fatty Acid Binding Protein 4,2167,ENSG00000170323,Primary,False,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,False,True,True,False,False,False,False,True,True,4.0559306,83.0,,,,,0.2,1.0,5,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
GDF15,Growth Differentiation Factor 15,9518,ENSG00000130513,Primary,False,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,False,True,True,False,False,False,False,True,True,3.523361,76.0,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
GFAP,Glial Fibrillary Acidic Protein,2670,ENSG00000131095,Strict,True,True,True,True,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,False,True,True,False,False,False,True,True,True,4.521371,100.0,,,,,0.3,0.9090909090909092,11,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
HIF1A,Hypoxia Inducible Factor 1 Subunit Alpha,,,Primary,False,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,False,True,True,False,False,False,False,False,False,4.486366,96.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
HMGB1,High Mobility Group Box 1,3146,ENSG00000189403,Primary,False,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,False,True,True,False,False,False,False,True,True,4.3031163,94.0,,,,,0.2,1.0,4,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
