Gene_Symbol,Gene_Name,Entrez_Gene_ID,Ensembl_Gene_ID,Evidence_Tier,In_Strict_28,In_Primary_81,In_MediumExtended_176,In_BroadSensitivity_430,Primary_Source_Databases,Primary_Source_Count,Medium_Source_Databases,Medium_Source_Count,Broad_Source_Databases,Broad_Source_Count,GeneCards_Strict_ge5,GeneCards_Main_ge3,GeneCards_Broad_ge0.9,OMIM_UltraStrict,OMIM_Primary,OMIM_PrimaryPlusExtended,DisGeNET_Primary_raw_ge0.30,DisGeNET_Conservative_EI_ge0.80,DisGeNET_HumanLiterature,GeneCards_Relevance_Score,GeneCards_Knowledge_Score,OMIM_Gene_MIM_ID,OMIM_Phenotype_MIM_IDs,OMIM_Evidence_Layers,OMIM_Mechanism_Tags,DisGeNET_Raw_GDA_Score,DisGeNET_EI,DisGeNET_N_PMIDs,Interpretation_Note
ADAMTS13,ADAM Metallopeptidase With Thrombospondin Type 1 Motif 13,11093,ENSG00000160323,Strict,True,True,True,True,GeneCards,1,GeneCards;OMIM,2,GeneCards;OMIM;DisGeNET,3,True,True,True,False,False,True,False,False,True,7.103341,97.0,604134,274150,Extended_Etiologic,microangiopathy,0.2,0.7142857142857143,7,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ALB,Albumin,213,ENSG00000163631,Strict,True,True,True,True,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,True,True,True,False,False,False,True,True,True,10.213423,100.0,,,,,0.3,1.0,19,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ALOX5AP,Arachidonate 5-lipoxygenase activating protein,241,,Strict,True,True,True,True,OMIM,1,OMIM,1,OMIM,1,False,False,False,True,True,True,False,False,False,,,603700,601367,UltraStrict_Direct_AIS,direct_ischemic,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
APOA1,Apolipoprotein A1,,,Strict,True,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,True,True,True,False,False,False,False,False,False,5.007799,100.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
AVP,Arginine Vasopressin,551,ENSG00000101200,Strict,True,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,True,True,True,False,False,False,False,True,True,6.224776,89.0,,,,,0.2,1.0,9,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
BDNF,Brain Derived Neurotrophic Factor,627,ENSG00000176697,Strict,True,True,True,True,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,True,True,True,False,False,False,True,True,True,8.27195,100.0,,,,,0.3,0.8181818181818182,11,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CRP,C-Reactive Protein,1401,ENSG00000132693,Strict,True,True,True,True,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,True,True,True,False,False,False,True,True,True,21.152647,87.0,,,,,0.3,0.9210526315789472,38,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CST3,Cystatin C,1471,ENSG00000101439,Strict,True,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,True,True,True,False,False,False,False,True,True,6.0733933,79.0,,,,,0.25,1.0,4,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CYP2C19,Cytochrome P450 Family 2 Subfamily C Member 19,1557,ENSG00000165841,Strict,True,True,True,True,GeneCards,1,GeneCards,1,GeneCards;DisGeNET,2,True,True,True,False,False,False,False,False,True,5.4051743,92.0,,,,,0.2,0.5,4,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ENO1,Enolase 1,,,Strict,True,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,True,True,True,False,False,False,False,False,False,7.8742743,92.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
