Gene_Symbol,UniProt_Accessions,Target_Names,Source_Databases,Source_Count,Source_Databases_Excluding_COMET,Source_Count_Excluding_COMET,CrossSupport_Excluding_COMET,Evidence_Tier,In_Strict_25,In_CrossPriority_22,In_Recommended_42,In_Extended_171,SwissTargetPrediction,SuperPred,PharmMapper,PPB3,COMET,PASSTargets,NetInfer,Swiss_Probability,SuperPred_Probability,SuperPred_Model_Accuracy,PharmMapper_Best_Norm_Fit,PharmMapper_Max_zscore,PPB3_Confidence_Score,COMET_Probability,PASSTargets_Max_Activity_Score,NetInfer_Score,NetInfer_Rank,Inclusion_Reason,Interpretation_Note
ALOX15,P16050,Arachidonate 15-lipoxygenase,PPB3,1,PPB3,1,False,Strict,True,False,True,True,False,False,False,True,False,False,False,,,,,,0.81,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
ANG,P03950,Angiogenin,PharmMapper,1,PharmMapper,1,False,Strict,True,False,True,True,False,False,True,False,False,False,False,,,,0.9395,5.29663,,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
APEX1,P27695,DNA-(apurinic or apyrimidinic site) lyase,SuperPred,1,SuperPred,1,False,Strict,True,False,True,True,False,True,False,False,False,False,False,,0.9027,0.9111,,,,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
AR,P10275,Androgen receptor;Androgen receptor (Dihydrotestosterone receptor) (Nuclear receptor subfamily 3 group C member 4),NetInfer;PASSTargets,2,NetInfer;PASSTargets,2,True,CrossDatabasePriority,False,True,True,True,False,False,False,False,False,True,True,,,,,,,,0.0571,1.83044,8,Appears in at least two selected sources; not in the strict 25-gene set,"Prediction evidence only; database repetition is prioritization, not experimental validation."
BCHE,P06276,Cholinesterase;Cholinesterase (EC 3.1.1.8) (Acylcholine acylhydrolase) (Butyrylcholine esterase) (Choline esterase II) (Pseudocholinesterase),NetInfer;PharmMapper,2,NetInfer;PharmMapper,2,True,CrossDatabasePriority,False,True,True,True,False,False,True,False,False,False,True,,,,0.8639,0.0800393,,,,1.15026,28,Appears in at least two selected sources; not in the strict 25-gene set,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CA12,O43570,Carbonic anhydrase 12,PharmMapper,1,PharmMapper,1,False,Strict,True,False,True,True,False,False,True,False,False,False,False,,,,0.9763,1.37322,,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CA2,P00918,Carbonic anhydrase 2;Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase C) (CAC) (Carbonic anhydrase II) (CA-II),NetInfer;PharmMapper,2,NetInfer;PharmMapper,2,True,CrossDatabasePriority,False,True,True,True,False,False,True,False,False,False,True,,,,0.7312,1.32481,,,,1.23135,23,Appears in at least two selected sources; not in the strict 25-gene set,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CACNA1B,Q00975,Voltage-gated N-type calcium channel alpha-1B subunit,SuperPred,1,SuperPred,1,False,Strict,True,False,True,True,False,True,False,False,False,False,False,,0.8528,0.9714,,,,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CASP1,P29466,Caspase-1;Caspase-1 (CASP-1) (EC 3.4.22.36) (Interleukin-1 beta convertase) (IL-1BC) (Interleukin-1 beta-converting enzyme) (ICE) (IL-1 beta-converting enzyme) (p45) [Cleaved into: Caspase-1 subunit p20;Caspase-1 subunit p10],NetInfer;PASSTargets,2,NetInfer;PASSTargets,2,True,CrossDatabasePriority,False,True,True,True,False,False,False,False,False,True,True,,,,,,,,0.0329,0.841848,39,Appears in at least two selected sources; not in the strict 25-gene set,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CNR2,P34972,Cannabinoid CB2 receptor,SuperPred,1,SuperPred,1,False,Strict,True,False,True,True,False,True,False,False,False,False,False,,0.8843,0.9725,,,,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CSNK2B,P67870,Casein kinase II alpha/beta,SuperPred,1,SuperPred,1,False,Strict,True,False,True,True,False,True,False,False,False,False,False,,0.8302,0.9923,,,,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CTSD,P07339,Cathepsin D,SuperPred,1,SuperPred,1,False,Strict,True,False,True,True,False,True,False,False,False,False,False,,0.8035,0.9895,,,,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
DRD2,P14416,D(2) dopamine receptor;D(2) dopamine receptor (Dopamine D2 receptor),NetInfer;PASSTargets,2,NetInfer;PASSTargets,2,True,CrossDatabasePriority,False,True,True,True,False,False,False,False,False,True,True,,,,,,,,0.134,1.18635,25,Appears in at least two selected sources; not in the strict 25-gene set,"Prediction evidence only; database repetition is prioritization, not experimental validation."
GLRA1,P23415,Glycine receptor subunit alpha-1;Glycine receptor subunit alpha-1 (Glycine receptor 48 kDa subunit) (Glycine receptor strychnine-binding subunit),COMET;NetInfer;PASSTargets;SwissTargetPrediction,4,NetInfer;PASSTargets;SwissTargetPrediction,3,True,Strict_and_CrossSupported,True,True,True,True,True,False,False,False,True,True,True,0.9285033668861793,,,,,,0.0003326099831610918,0.3681,0.81402,43,Meets a strict predictor rule and appears in at least two selected sources,"Prediction evidence only; database repetition is prioritization, not experimental validation."
GLRA2,P23416,Glycine receptor subunit alpha-2,COMET;SwissTargetPrediction,2,SwissTargetPrediction,1,False,Strict_and_CrossSupported,True,True,True,True,True,False,False,False,True,False,False,0.9281293277882243,,,,,,0.00024307151034008712,,,,Meets a strict predictor rule and appears in at least two selected sources,"Prediction evidence only; database repetition is prioritization, not experimental validation."
GUSB,P08236,Beta-glucuronidase,SwissTargetPrediction,1,SwissTargetPrediction,1,False,Strict,True,False,True,True,True,False,False,False,False,False,False,0.9273758288310694,,,,,,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
HIF1A,Q16665,Hypoxia-inducible factor 1 alpha,SuperPred,1,SuperPred,1,False,Strict,True,False,True,True,False,True,False,False,False,False,False,,0.8358,0.8514,,,,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
HMGCR,P04035,3-hydroxy-3-methylglutaryl-coenzyme A reductase;3-hydroxy-3-methylglutaryl-coenzyme A reductase (HMG-CoA reductase) (EC 1.1.1.34),NetInfer;PASSTargets,2,NetInfer;PASSTargets,2,True,CrossDatabasePriority,False,True,True,True,False,False,False,False,False,True,True,,,,,,,,0.0365,1.60169,13,Appears in at least two selected sources; not in the strict 25-gene set,"Prediction evidence only; database repetition is prioritization, not experimental validation."
HSD17B10,Q99714,Endoplasmic reticulum-associated amyloid beta-peptide-binding protein,PPB3,1,PPB3,1,False,Strict,True,False,True,True,False,False,False,True,False,False,False,,,,,,0.4,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
