Gene_Symbol,First_Entry_Level,Core_Anchor,UniProt_Accessions,Drug_Evidence_Tier,Drug_Source_Databases,Drug_Source_Count,Disease_Gene_Name,Disease_Evidence_Tier,Disease_Sources_At_Selected_Layer,Disease_Source_Count_At_Selected_Layer,Drug_Input_Set,Disease_Input_Set,Analysis_Use,Interpretation_Note
CTNNB1,L4_BroadExploratory,False,P35222,ExtendedPrediction,PASSTargets,1,Catenin Beta 1,BroadSensitivity,GeneCards,1,Bilobalide Extended_171,AIS BroadSensitivity_430,宽口径探索性敏感性分析；不得称为最终核心靶点。,"Prediction/association overlap only; membership does not establish target engagement, causality, therapeutic efficacy, or Hub status."
F2,L3_MediumExtended,False,P00734,ExtendedPrediction,PharmMapper,1,"Coagulation Factor II, Thrombin",Strict,GeneCards;OMIM;DisGeNET,3,Bilobalide Extended_171,AIS BroadSensitivity_430,宽口径探索性敏感性分析；不得称为最终核心靶点。,"Prediction/association overlap only; membership does not establish target engagement, causality, therapeutic efficacy, or Hub status."
F2R,L4_BroadExploratory,False,P25116,ExtendedPrediction,PASSTargets,1,Coagulation Factor II Thrombin Receptor,BroadSensitivity,GeneCards,1,Bilobalide Extended_171,AIS BroadSensitivity_430,宽口径探索性敏感性分析；不得称为最终核心靶点。,"Prediction/association overlap only; membership does not establish target engagement, causality, therapeutic efficacy, or Hub status."
HIF1A,L2_Primary,True,Q16665,Strict,SuperPred,1,Hypoxia Inducible Factor 1 Subunit Alpha,Primary,GeneCards,1,Bilobalide Extended_171,AIS BroadSensitivity_430,宽口径探索性敏感性分析；不得称为最终核心靶点。,"Prediction/association overlap only; membership does not establish target engagement, causality, therapeutic efficacy, or Hub status."
IL2,L4_BroadExploratory,False,P60568,ExtendedPrediction,PASSTargets,1,Interleukin 2,BroadSensitivity,GeneCards,1,Bilobalide Extended_171,AIS BroadSensitivity_430,宽口径探索性敏感性分析；不得称为最终核心靶点。,"Prediction/association overlap only; membership does not establish target engagement, causality, therapeutic efficacy, or Hub status."
MIF,L4_BroadExploratory,False,P14174,ExtendedPrediction,NetInfer,1,Macrophage Migration Inhibitory Factor,BroadSensitivity,GeneCards,1,Bilobalide Extended_171,AIS BroadSensitivity_430,宽口径探索性敏感性分析；不得称为最终核心靶点。,"Prediction/association overlap only; membership does not establish target engagement, causality, therapeutic efficacy, or Hub status."
MYLK,L4_BroadExploratory,False,Q15746,ExtendedPrediction,PASSTargets,1,Myosin Light Chain Kinase,BroadSensitivity,GeneCards,1,Bilobalide Extended_171,AIS BroadSensitivity_430,宽口径探索性敏感性分析；不得称为最终核心靶点。,"Prediction/association overlap only; membership does not establish target engagement, causality, therapeutic efficacy, or Hub status."
NFE2L2,L3_MediumExtended,False,Q16236,CrossDatabasePriority,NetInfer;PASSTargets,2,NFE2 Like BZIP Transcription Factor 2,MediumExtended,GeneCards;DisGeNET,2,Bilobalide Extended_171,AIS BroadSensitivity_430,宽口径探索性敏感性分析；不得称为最终核心靶点。,"Prediction/association overlap only; membership does not establish target engagement, causality, therapeutic efficacy, or Hub status."
NFKB1,L1_Strict,True,P19838,Strict,SuperPred,1,Nuclear Factor Kappa B Subunit 1,Strict,GeneCards;DisGeNET,2,Bilobalide Extended_171,AIS BroadSensitivity_430,宽口径探索性敏感性分析；不得称为最终核心靶点。,"Prediction/association overlap only; membership does not establish target engagement, causality, therapeutic efficacy, or Hub status."
RELA,L4_BroadExploratory,False,Q04206,ExtendedPrediction,PASSTargets,1,"RELA Proto-Oncogene, NF-KB Subunit",BroadSensitivity,GeneCards,1,Bilobalide Extended_171,AIS BroadSensitivity_430,宽口径探索性敏感性分析；不得称为最终核心靶点。,"Prediction/association overlap only; membership does not establish target engagement, causality, therapeutic efficacy, or Hub status."
