Gene_Symbol,UniProt_Accessions,Target_Names,Source_Databases,Source_Count,Source_Databases_Excluding_COMET,Source_Count_Excluding_COMET,CrossSupport_Excluding_COMET,Evidence_Tier,In_Strict_25,In_CrossPriority_22,In_Recommended_42,In_Extended_171,SwissTargetPrediction,SuperPred,PharmMapper,PPB3,COMET,PASSTargets,NetInfer,Swiss_Probability,SuperPred_Probability,SuperPred_Model_Accuracy,PharmMapper_Best_Norm_Fit,PharmMapper_Max_zscore,PPB3_Confidence_Score,COMET_Probability,PASSTargets_Max_Activity_Score,NetInfer_Score,NetInfer_Rank,Inclusion_Reason,Interpretation_Note
ABCB11,O95342,Bile salt export pump,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.2922,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
ABCC9,O60706,Kir6.2;Sulfonylurea receptor 2,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0488,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
ACACA,Q13085,Acetyl-CoA carboxylase 1,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.045,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
ACACB,O00763,Acetyl-CoA carboxylase 2,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0433,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
ACHE,P22303,Acetylcholinesterase,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0566,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
ADK,P55263,Adenosine kinase,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0193,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
ADORA2A,P29274,Adenosine receptor A2a,NetInfer,1,NetInfer,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,False,True,,,,,,,,,0.752609,50,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
AKR1B1,P15121,Aldose reductase,PharmMapper,1,PharmMapper,1,False,ExtendedPrediction,False,False,False,True,False,False,True,False,False,False,False,,,,0.7264,1.30308,,,,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
AKR1C3,P42330,2-dihydrobenzene-1;2-diol dehydrogenase) (EC 1.3.1.20);Aldo-keto reductase family 1 member C3 (EC 1.-.-.-) (17-beta-hydroxysteroid dehydrogenase type 5) (17-beta-HSD 5) (3-alpha-HSD type II;brain) (3-alpha-hydroxysteroid dehydrogenase type 2) (3-alpha-HSD type 2) (EC 1.1.1.357) (Chlordecone reductase homolog HAKRb) (Dihydrodiol dehydrogenase 3) (DD-3) (DD3) (Dihydrodiol dehydrogenase type I) (HA1753) (Indanol dehydrogenase) (EC 1.1.1.112) (Prostaglandin F synthase) (PGFS) (EC 1.1.1.188) (Testosterone 17-beta-dehydrogenase 5) (EC 1.1.1.239) (EC 1.1.1.64) (Trans-1,NetInfer,1,NetInfer,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,False,True,,,,,,,,,1.2405,21,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
ALOX15,P16050,Arachidonate 15-lipoxygenase,PPB3,1,PPB3,1,False,Strict,True,False,True,True,False,False,False,True,False,False,False,,,,,,0.81,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
