"Prediction_Source","Source_File","Source_Row","Pharma_Model","PDB_ID","Num_Feature","Fit","Norm_Fit","zscore","Target_Name_Raw","UniProt_Field_Raw","Class_Raw","Function_Raw","Disease_Raw","Indication_Raw","Mapping_Method","Mapping_Status","Gene_Symbol","UniProt_accession","UniProt_entry_name","UniProt_reviewed","Species","TaxID","Protein_Name_UniProt","Is_Human","Meets_Strict","Meets_Relaxed","Meets_Exploratory","Compound","PubChem_CID","Processing_Date"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","1","1ur1_v","1UR1","3","2.953","0.9843","1.41125","NONE","NONE","NONE","NONE","NONE","NONE","PDB_cross_reference","mapped","xynC","O68541","O68541_9GAMM","unreviewed","Cellvibrio mixtus","39650","Beta-xylanase (EC 3.2.1.8)","FALSE","TRUE","TRUE","TRUE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","2","1ylv_v","1YLV","3","2.943","0.9809","1.4098","Delta-aminolevulinic acid dehydratase","P05373","NONE","Coenzyme transport and metabolism","NONE","NONE","UniProt_field","mapped","HEM2","P05373","HEM2_YEAST","reviewed","Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)","559292","Delta-aminolevulinic acid dehydratase (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase)","FALSE","TRUE","TRUE","TRUE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","3","1rr2_v","1RR2","3","2.932","0.9774","1.43765","Methylmalonyl-CoA carboxyltransferase 5S subunit","Q70AC7","NONE","Energy production and conversion","NONE","NONE","UniProt_field","mapped","","Q70AC7","5S_PROFR","reviewed","Propionibacterium freudenreichii subsp. shermanii","1752","Methylmalonyl-CoA carboxyltransferase 5S subunit (EC 2.1.3.1) (Transcarboxylase 5S subunit)","FALSE","TRUE","TRUE","TRUE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","4","1tg8_v","1TG8","3","2.899","0.9664","1.3421","Genome polyprotein","P27914","NONE","Envelope protein E binding to host cell surface receptor is followed by virus internalization through clathrin-mediated endocytosis. Envelope protein E is subsequently involved in membrane fusion between virion and host late endosomes. Synthesized as a homodimer with prM which acts as a chaperone for envelope protein E. After cleavage of prM, envelope protein E dissociate from small envelope protein M and homodimerizes (By similarity).","NONE","NONE","UniProt_field","mapped","","P27914","POLG_DEN2T","reviewed","Dengue virus type 2 (strain Tonga/EKB194/1974) (DENV-2)","11067","Genome polyprotein [Cleaved into: Envelope protein E; Non-structural protein 1 (NS1); Non-structural protein 2A (NS2A); Serine protease NS3 (EC 3.4.21.91) (EC 3.6.1.15) (EC 3.6.4.13) (Non-structural protein 3)]","FALSE","TRUE","TRUE","TRUE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","5","1w6f_v","1W6F","3","2.881","0.9604","1.2017","Arylamine N-acetyltransferase","NAT_MYCSM","TRANSFERASE","Could have a role in acetylating, and hence inactivating, the antitubercular drug isoniazid.","NONE","NONE","UniProt_field","mapped","nat","O86309","NAT_MYCSM","reviewed","Mycolicibacterium smegmatis (Mycobacterium smegmatis)","1772","Arylamine N-acetyltransferase (NAT) (EC 2.3.1.5)","FALSE","TRUE","TRUE","TRUE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","6","1k59_v","1K59","4","3.758","0.9395","5.29663","Angiogenin","ANGI_HUMAN","HYDROLASE","May function as a tRNA-specific ribonuclease that binds to actin on the surface of endothelial cells; once bound, angiogenin is endocytosed and translocated to the nucleus, thereby promoting the endothelial invasiveness necessary for blood vessel formatio","Defects in ANG are the cause of susceptibility to amyotrophic lateral sclerosis type 9 (ALS9) [MIM:611895]. ALS is a degenerative disorder of motor neurons in the cortex, brain stem and spinal cord. ALS is characterized by muscular weakness and atrophy.","NONE","UniProt_field","mapped","ANG","P03950","ANGI_HUMAN","reviewed","Homo sapiens (Human)","9606","Angiogenin (EC 3.1.27.-) (Ribonuclease 5) (RNase 5)","TRUE","TRUE","TRUE","TRUE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","7","1ufy_v","1UFY","3","2.8","0.9333","0.90964","Chorismate mutase","Q84FH6","NONE","Catalyzes the Claisen rearrangement of chorismate to prephenate. Probably involved in the aromatic amino acid biosynthesis.","NONE","NONE","UniProt_field","mapped","aroH","Q84FH6","AROH_THETH","reviewed","Thermus thermophilus","274","Chorismate mutase AroH (EC 5.4.99.5)","FALSE","FALSE","FALSE","TRUE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","8","2b3k_v","2B3K","3","2.799","0.9329","0.968911","Methionine aminopeptidase 1","AMPM1_HUMAN","HYDROLASE","Removes the amino-terminal methionine from nascent proteins (By similarity).","NONE","NONE","UniProt_field","mapped","","P53582","MAP11_HUMAN","reviewed","Homo sapiens (Human)","","Methionine aminopeptidase 1 (MAP 1) (MetAP 1) (EC 3.4.11.18) (Peptidase M 1)","FALSE","FALSE","FALSE","TRUE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","9","1f7t_v","1F7T","3","2.795","0.9316","0.934801","Holo-[acyl-carrier-protein] synthase","P96618","NONE","Lipid transport and metabolism","NONE","NONE","UniProt_field","mapped","acpS","P96618","ACPS_BACSU","reviewed","Bacillus subtilis (strain 168)","224308","Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)","FALSE","FALSE","FALSE","TRUE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","10","1wwj_v","1WWJ","3","2.781","0.9269","0.926215","Circadian clock protein kaiB","P74645","NONE","Posttranslational modification, protein turnover, chaperones","NONE","NONE","UniProt_field","mapped","kaiB1","P74645","KAIB1_SYNY3","reviewed","Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa)","1111708","Circadian clock oscillator protein KaiB1","FALSE","FALSE","FALSE","TRUE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","11","1jim_v","1JIM","3","2.752","0.9173","0.799468","Chymotrypsin-like elastase family member 1","P00772","NONE","Involved in protease activity","NONE","NONE","UniProt_field","mapped","CELA1","P00772","CELA1_PIG","reviewed","Sus scrofa (Pig)","9823","Chymotrypsin-like elastase family member 1 (EC 3.4.21.36) (Elastase-1)","FALSE","FALSE","FALSE","TRUE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","12","1ws2_v","1WS2","3","2.751","0.917","0.868032","Uricase","Q00511","NONE","Secondary metabolites biosynthesis, transport and catabolism","NONE","NONE","UniProt_field","mapped","uaZ","Q00511","URIC_ASPFL","reviewed","Aspergillus flavus","5059","Uricase (EC 1.7.3.3) (Rasburicase) (Urate oxidase)","FALSE","FALSE","FALSE","TRUE","Bilobalide","73581","2026-07-11"
