"Ligand: 73581
"
Pharma Model,Num Feature,Fit,Norm Fit,zscore,Num Hydrophobic,Num HB Acceptor,Num HB Donor,Num Positive,Num Negative,Num Aromatic,Name,Class,Uniplot,Function,Disease,Idication,,,,"
"
1k7h_v,3,2.93,0.9766,1.51387,0,3,0,0,0,0,NONE,NONE,NONE,NONE,NONE,NONE,,,,"
"
1jd0_v,3,2.929,0.9763,1.37322,0,2,1,0,0,0,Carbonic anhydrase 12,LYASE,CAH12_HUMAN,Reversible hydration of carbon dioxide.,NONE,NONE,,,,"
"
1sr0_v,3,2.922,0.9741,1.48002,0,3,0,0,0,0,Chitinase-3-like protein 1,NONE,Q6TMG6,Involved in chitinase activity,NONE,NONE,,,,"
"
1req_v,3,2.892,0.9641,1.30828,0,3,0,0,0,0,Methylmalonyl-CoA mutase large subunit,NONE,P11653,Catalyzes the isomerization of succinyl-CoA to methylmalonyl-CoA during synthesis of propionate from tricarboxylic acid-cycle intermediates.,NONE,NONE,,,,"
"
1eq9_v,3,2.882,0.9606,1.20544,1,2,0,0,0,0,Chymotrypsin-1,NONE,Q7SIG2,Involved in catalytic activity,NONE,NONE,,,,"
"
1c5r_v,4,3.816,0.9539,4.47073,0,4,0,0,0,0,Cationic trypsin,NONE,P00760,Involved in protease activity,NONE,For the symptomatic relief of patients with interstitial cystitis.,,,,"
"
1h3j_v,3,2.845,0.9483,1.09349,0,2,1,0,0,0,Peroxidase,NONE,P28314,Involved in peroxidase activity,NONE,NONE,,,,"
"
1w8m_v,3,2.839,0.9463,1.01718,1,2,0,0,0,0,Peptidyl-prolyl cis-trans isomerase A,NONE,P62937,"Posttranslational modification, protein turnover, chaperones",NONE,"For treatment of transplant rejection, rheumatoid arthritis, severe psoriasis",,,,"
"
1f7t_v,3,2.818,0.9395,1.03894,0,2,1,0,0,0,Holo-[acyl-carrier-protein] synthase,NONE,P96618,Lipid transport and metabolism,NONE,NONE,,,,"
"
1dx6_v,3,2.805,0.935,0.944381,1,2,0,0,0,0,Acetylcholinesterase,SERINE HYDROLASE,ACES_TORCA,Terminates signal transduction at the neuromuscular junction by rapid hydrolysis of the acetylcholine released into the synaptic cleft. May be involved in cell-cell interactions.,NONE,NONE,,,,"
"
1tg8_v,3,2.779,0.9264,0.895475,0,3,0,0,0,0,Genome polyprotein,NONE,P27914,"Envelope protein E binding to host cell surface receptor is followed by virus internalization through clathrin-mediated endocytosis. Envelope protein E is subsequently involved in membrane fusion between virion and host late endosomes. Synthesized as a homodimer with prM which acts as a chaperone for envelope protein E. After cleavage of prM, envelope protein E dissociate from small envelope protein M and homodimerizes (By similarity).",NONE,NONE,,,,"
"
1wom_v,3,2.778,0.9261,0.907745,0,3,0,0,0,0,Sigma factor sigB regulation protein rsbQ,NONE,O07015,Involved in hydrolase activity,NONE,NONE,,,,"
"
1pq9_v,3,2.765,0.9218,0.756229,1,2,0,0,0,0,Oxysterols receptor LXR-beta,TRANSCRIPTION REGULATION,NR1H2_HUMAN,Orphan receptor. Binds preferentially to double-stranded oligonucleotide direct repeats having the consensus half-site sequence 5-AGGTCA-3 and 4-nt spacing (DR-4).,NONE,Lipid metabolism disorder;Atherosclerosis,,,,"
"
1rr2_v,3,2.751,0.9169,0.809431,0,3,0,0,0,0,Methylmalonyl-CoA carboxyltransferase 5S subunit,NONE,Q70AC7,Energy production and conversion,NONE,NONE,,,,"
"
1jdz_v,3,2.743,0.9142,0.771883,0,2,1,0,0,0,S-methyl-5-thioadenosine phosphorylase,NONE,P50389,Nucleotide transport and metabolism,NONE,NONE,,,,"
"
1lwk_v,3,2.74,0.9133,0.802759,1,2,0,0,0,0,Lysozyme,NONE,P00720,Involved in lysozyme activity,NONE,For the reduction of the symptoms of muscle weakness and easy fatigability associated with the myasthenic syndrome of Eaton-Lambert. It is not indicated for treating myasthenia gravis.,,,,"
"
1kkt_v,3,2.736,0.912,0.785958,0,2,1,0,0,0,"Mannosyl-oligosaccharide alpha-1,2-mannosidase",NONE,P31723,"Involved in mannosyl-oligosaccharide 1,2-alpha-mannosidase activity",NONE,NONE,,,,"
"
1ukq_v,3,2.735,0.9118,0.768061,1,2,0,0,0,0,Cyclomaltodextrin glucanotransferase,NONE,P05618,Carbohydrate transport and metabolism,NONE,NONE,,,,"
"
1ylv_v,3,2.727,0.9091,0.588893,1,2,0,0,0,0,Delta-aminolevulinic acid dehydratase,NONE,P05373,Coenzyme transport and metabolism,NONE,NONE,,,,"
"
1q9b_v,3,2.706,0.9019,0.706344,1,2,0,0,0,0,Pro-hevein,NONE,P02877,N-acetyl-D-glucosamine / N-acetyl-D-neuraminic acid binding lectin. Can inhibit fungal growth.,NONE,NONE,,,,"
"
1tbw_v,3,2.704,0.9013,0.723979,1,2,0,0,0,0,Endoplasmin,NONE,P41148,"Molecular chaperone that functions in the processing and transport of secreted proteins. When associated with CNPY3, required for proper folding of Toll-like receptors. Functions in endoplasmic reticulum associated degradation (ERAD). Has ATPase activity (By similarity).",NONE,NONE,,,,"
"
1yr3_v,3,2.675,0.8916,0.667869,0,1,2,0,0,0,Xanthosine phosphorylase,NONE,P45563,Nucleotide transport and metabolism,NONE,NONE,,,,"
"
1va4_v,3,2.666,0.8886,0.518579,0,2,1,0,0,0,Arylesterase,NONE,P22862,"Bifunctional enzyme, capable of both ester hydrolysis and halogenation. Has a low bromoperoxidase activity. Acts on many phenolic esters.",NONE,NONE,,,,"
"
1lbk_v,3,2.66,0.8867,0.334955,1,2,0,0,0,0,Glutathione S-transferase P,TRANSFERASE,GSTP1_HUMAN,Conjugation of reduced glutathione to a wide number of exogenous and endogenous hydrophobic electrophiles.,NONE,NONE,,,,"
"
1aur_v,3,2.652,0.8841,0.513457,1,2,0,0,0,0,Carboxylesterase 2,NONE,Q53547,Hydrolyzes carboxylic ester bonds with relatively broad substrate specificity,NONE,NONE,,,,"
"
