"Ligand: 73581
"
Pharma Model,Num Feature,Fit,Norm Fit,zscore,Num Hydrophobic,Num HB Acceptor,Num HB Donor,Num Positive,Num Negative,Num Aromatic,Name,Class,Uniplot,Function,Disease,Idication,,,,"
"
1ur1_v,3,2.953,0.9843,1.41125,0,2,1,0,0,0,NONE,NONE,NONE,NONE,NONE,NONE,,,,"
"
1ylv_v,3,2.943,0.9809,1.4098,1,2,0,0,0,0,Delta-aminolevulinic acid dehydratase,NONE,P05373,Coenzyme transport and metabolism,NONE,NONE,,,,"
"
1rr2_v,3,2.932,0.9774,1.43765,0,3,0,0,0,0,Methylmalonyl-CoA carboxyltransferase 5S subunit,NONE,Q70AC7,Energy production and conversion,NONE,NONE,,,,"
"
1tg8_v,3,2.899,0.9664,1.3421,0,3,0,0,0,0,Genome polyprotein,NONE,P27914,"Envelope protein E binding to host cell surface receptor is followed by virus internalization through clathrin-mediated endocytosis. Envelope protein E is subsequently involved in membrane fusion between virion and host late endosomes. Synthesized as a homodimer with prM which acts as a chaperone for envelope protein E. After cleavage of prM, envelope protein E dissociate from small envelope protein M and homodimerizes (By similarity).",NONE,NONE,,,,"
"
1w6f_v,3,2.881,0.9604,1.2017,1,2,0,0,0,0,Arylamine N-acetyltransferase,TRANSFERASE,NAT_MYCSM,"Could have a role in acetylating, and hence inactivating, the antitubercular drug isoniazid.",NONE,NONE,,,,"
"
1k59_v,4,3.758,0.9395,5.29663,0,4,0,0,0,0,Angiogenin,HYDROLASE,ANGI_HUMAN,"May function as a tRNA-specific ribonuclease that binds to actin on the surface of endothelial cells; once bound, angiogenin is endocytosed and translocated to the nucleus, thereby promoting the endothelial invasiveness necessary for blood vessel formatio","Defects in ANG are the cause of susceptibility to amyotrophic lateral sclerosis type 9 (ALS9) [MIM:611895]. ALS is a degenerative disorder of motor neurons in the cortex, brain stem and spinal cord. ALS is characterized by muscular weakness and atrophy.",NONE,,,,"
"
1ufy_v,3,2.8,0.9333,0.90964,1,2,0,0,0,0,Chorismate mutase,NONE,Q84FH6,Catalyzes the Claisen rearrangement of chorismate to prephenate. Probably involved in the aromatic amino acid biosynthesis.,NONE,NONE,,,,"
"
2b3k_v,3,2.799,0.9329,0.968911,0,2,1,0,0,0,Methionine aminopeptidase 1,HYDROLASE,AMPM1_HUMAN,Removes the amino-terminal methionine from nascent proteins (By similarity).,NONE,NONE,,,,"
"
1f7t_v,3,2.795,0.9316,0.934801,0,2,1,0,0,0,Holo-[acyl-carrier-protein] synthase,NONE,P96618,Lipid transport and metabolism,NONE,NONE,,,,"
"
