Gene_Symbol,UniProt_Accessions,Target_Names,Source_Databases,Source_Count,Source_Databases_Excluding_COMET,Source_Count_Excluding_COMET,CrossSupport_Excluding_COMET,Evidence_Tier,In_Strict_25,In_CrossPriority_22,In_Recommended_42,In_Extended_171,SwissTargetPrediction,SuperPred,PharmMapper,PPB3,COMET,PASSTargets,NetInfer,Swiss_Probability,SuperPred_Probability,SuperPred_Model_Accuracy,PharmMapper_Best_Norm_Fit,PharmMapper_Max_zscore,PPB3_Confidence_Score,COMET_Probability,PASSTargets_Max_Activity_Score,NetInfer_Score,NetInfer_Rank,Inclusion_Reason,Interpretation_Note
ALOX15,P16050,Arachidonate 15-lipoxygenase,PPB3,1,PPB3,1,False,Strict,True,False,True,True,False,False,False,True,False,False,False,,,,,,0.81,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
ANG,P03950,Angiogenin,PharmMapper,1,PharmMapper,1,False,Strict,True,False,True,True,False,False,True,False,False,False,False,,,,0.9395,5.29663,,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
APEX1,P27695,DNA-(apurinic or apyrimidinic site) lyase,SuperPred,1,SuperPred,1,False,Strict,True,False,True,True,False,True,False,False,False,False,False,,0.9027,0.9111,,,,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CA12,O43570,Carbonic anhydrase 12,PharmMapper,1,PharmMapper,1,False,Strict,True,False,True,True,False,False,True,False,False,False,False,,,,0.9763,1.37322,,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CACNA1B,Q00975,Voltage-gated N-type calcium channel alpha-1B subunit,SuperPred,1,SuperPred,1,False,Strict,True,False,True,True,False,True,False,False,False,False,False,,0.8528,0.9714,,,,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CNR2,P34972,Cannabinoid CB2 receptor,SuperPred,1,SuperPred,1,False,Strict,True,False,True,True,False,True,False,False,False,False,False,,0.8843,0.9725,,,,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CSNK2B,P67870,Casein kinase II alpha/beta,SuperPred,1,SuperPred,1,False,Strict,True,False,True,True,False,True,False,False,False,False,False,,0.8302,0.9923,,,,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CTSD,P07339,Cathepsin D,SuperPred,1,SuperPred,1,False,Strict,True,False,True,True,False,True,False,False,False,False,False,,0.8035,0.9895,,,,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
GLRA1,P23415,Glycine receptor subunit alpha-1;Glycine receptor subunit alpha-1 (Glycine receptor 48 kDa subunit) (Glycine receptor strychnine-binding subunit),COMET;NetInfer;PASSTargets;SwissTargetPrediction,4,NetInfer;PASSTargets;SwissTargetPrediction,3,True,Strict_and_CrossSupported,True,True,True,True,True,False,False,False,True,True,True,0.9285033668861793,,,,,,0.0003326099831610918,0.3681,0.81402,43,Meets a strict predictor rule and appears in at least two selected sources,"Prediction evidence only; database repetition is prioritization, not experimental validation."
GLRA2,P23416,Glycine receptor subunit alpha-2,COMET;SwissTargetPrediction,2,SwissTargetPrediction,1,False,Strict_and_CrossSupported,True,True,True,True,True,False,False,False,True,False,False,0.9281293277882243,,,,,,0.00024307151034008712,,,,Meets a strict predictor rule and appears in at least two selected sources,"Prediction evidence only; database repetition is prioritization, not experimental validation."
GUSB,P08236,Beta-glucuronidase,SwissTargetPrediction,1,SwissTargetPrediction,1,False,Strict,True,False,True,True,True,False,False,False,False,False,False,0.9273758288310694,,,,,,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
HIF1A,Q16665,Hypoxia-inducible factor 1 alpha,SuperPred,1,SuperPred,1,False,Strict,True,False,True,True,False,True,False,False,False,False,False,,0.8358,0.8514,,,,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
HSD17B10,Q99714,Endoplasmic reticulum-associated amyloid beta-peptide-binding protein,PPB3,1,PPB3,1,False,Strict,True,False,True,True,False,False,False,True,False,False,False,,,,,,0.4,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
LMNA,P02545,Prelamin-A/C,PPB3,1,PPB3,1,False,Strict,True,False,True,True,False,False,False,True,False,False,False,,,,,,0.35,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
NFKB1,P19838,Nuclear factor NF-kappa-B p105 subunit,SuperPred,1,SuperPred,1,False,Strict,True,False,True,True,False,True,False,False,False,False,False,,0.8117,0.9609,,,,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
PPIA,P62937,Peptidyl-prolyl cis-trans isomerase A,PASSTargets;PharmMapper,2,PASSTargets;PharmMapper,2,True,Strict_and_CrossSupported,True,True,True,True,False,False,True,False,False,True,False,,,,0.9463,1.01718,,,0.0709,,,Meets a strict predictor rule and appears in at least two selected sources,"Prediction evidence only; database repetition is prioritization, not experimental validation."
PTAFR,P25105,Platelet-activating factor receptor;Platelet-activating factor receptor (PAF-R) (PAFr),NetInfer;SwissTargetPrediction,2,NetInfer;SwissTargetPrediction,2,True,Strict_and_CrossSupported,True,True,True,True,True,False,False,False,False,False,True,0.9273758288310694,,,,,,,,2.67584,1,Meets a strict predictor rule and appears in at least two selected sources,"Prediction evidence only; database repetition is prioritization, not experimental validation."
SLCO1B1,Q9Y6L6,Solute carrier organic anion transporter family member 1B1,PPB3,1,PPB3,1,False,Strict,True,False,True,True,False,False,False,True,False,False,False,,,,,,0.41,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
SLCO1B3,Q9NPD5,Solute carrier organic anion transporter family member 1B3,PPB3,1,PPB3,1,False,Strict,True,False,True,True,False,False,False,True,False,False,False,,,,,,0.5,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
SMN1,Q16637,Survival motor neuron protein,PPB3,1,PPB3,1,False,Strict,True,False,True,True,False,False,False,True,False,False,False,,,,,,0.83,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
SMN2,Q16637,Survival motor neuron protein,PPB3,1,PPB3,1,False,Strict,True,False,True,True,False,False,False,True,False,False,False,,,,,,0.83,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
THRB,P10828,Thyroid hormone receptor beta-1,PPB3,1,PPB3,1,False,Strict,True,False,True,True,False,False,False,True,False,False,False,,,,,,0.43,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
