"Gene_Symbol","UniProt_accessions","UniProt_entry_names","Species","TaxID","Threshold_Tier","Selection_Criterion","Prediction_Sources","Source_Count","Both_2D_3D","Pharma_Models","Record_Count","Best_Norm_Fit","zscore_at_Best_Norm_Fit","Max_zscore","Best_2D_Norm_Fit","Best_2D_zscore","Best_3D_Norm_Fit","Best_3D_zscore","Target_Names","Compound","PubChem_CID","Evidence_Type","Mapping_Status","Gene_Mapping_Note"
"CA12","O43570","CAH12_HUMAN","Homo sapiens","9606","exploratory","Norm Fit >= 0.7 AND zscore >= 0","3D_submission","1","FALSE","1jd0_v","1","0.9763","1.37322","1.37322","","","0.9763","1.37322","Carbonic anhydrase 12","Bilobalide","73581","reverse_pharmacophore_prediction","human_UniProt_verified",""
"PPIA","P62937","PPIA_HUMAN","Homo sapiens","9606","exploratory","Norm Fit >= 0.7 AND zscore >= 0","2D_submission;3D_submission","2","TRUE","1w8m_v","2","0.9463","1.01718","1.01718","0.8791","0.262631","0.9463","1.01718","Peptidyl-prolyl cis-trans isomerase A","Bilobalide","73581","reverse_pharmacophore_prediction","human_UniProt_verified",""
"ANG","P03950","ANGI_HUMAN","Homo sapiens","9606","exploratory","Norm Fit >= 0.7 AND zscore >= 0","2D_submission;3D_submission","2","TRUE","1k59_v","2","0.9395","5.29663","5.29663","0.9395","5.29663","0.7034","0.732451","Angiogenin","Bilobalide","73581","reverse_pharmacophore_prediction","human_UniProt_verified",""
"NR1H2","P55055","NR1H2_HUMAN","Homo sapiens","9606","exploratory","Norm Fit >= 0.7 AND zscore >= 0","3D_submission","1","FALSE","1pq9_v","1","0.9218","0.756229","0.756229","","","0.9218","0.756229","Oxysterols receptor LXR-beta","Bilobalide","73581","reverse_pharmacophore_prediction","human_UniProt_verified",""
"MTAP","Q13126","MTAP_HUMAN","Homo sapiens","9606","exploratory","Norm Fit >= 0.7 AND zscore >= 0","2D_submission","1","FALSE","1cb0_v","1","0.9116","0.707287","0.707287","0.9116","0.707287","","","S-methyl-5-thioadenosine phosphorylase","Bilobalide","73581","reverse_pharmacophore_prediction","human_UniProt_verified",""
"GSTP1","P09211","GSTP1_HUMAN","Homo sapiens","9606","exploratory","Norm Fit >= 0.7 AND zscore >= 0","2D_submission;3D_submission","2","TRUE","1lbk_v;1md3_v","2","0.9107","0.621126","0.621126","0.9107","0.621126","0.8867","0.334955","Glutathione S-transferase P","Bilobalide","73581","reverse_pharmacophore_prediction","human_UniProt_verified",""
"CA1","P00915","CAH1_HUMAN","Homo sapiens","9606","exploratory","Norm Fit >= 0.7 AND zscore >= 0","2D_submission","1","FALSE","2nmx_v","1","0.9034","0.670361","0.670361","0.9034","0.670361","","","Carbonic anhydrase 1","Bilobalide","73581","reverse_pharmacophore_prediction","human_UniProt_verified",""
"DDX6","P26196","DDX6_HUMAN","Homo sapiens","9606","exploratory","Norm Fit >= 0.7 AND zscore >= 0","3D_submission","1","FALSE","1vec_v","1","0.8677","0.338169","0.338169","","","0.8677","0.338169","Probable ATP-dependent RNA helicase DDX6","Bilobalide","73581","reverse_pharmacophore_prediction","human_UniProt_verified",""
"BCHE","P06276","CHLE_HUMAN","Homo sapiens","9606","exploratory","Norm Fit >= 0.7 AND zscore >= 0","2D_submission","1","FALSE","1p0i_v","1","0.8639","0.0800393","0.0800393","0.8639","0.0800393","","","Cholinesterase","Bilobalide","73581","reverse_pharmacophore_prediction","human_UniProt_verified",""
"HSP90AA1","P07900","HS90A_HUMAN","Homo sapiens","9606","exploratory","Norm Fit >= 0.7 AND zscore >= 0","2D_submission","1","FALSE","3eko_v","1","0.8427","0.166984","0.166984","0.8427","0.166984","","","Heat shock protein HSP 90-alpha","Bilobalide","73581","reverse_pharmacophore_prediction","human_UniProt_verified",""
"F2","P00734","THRB_HUMAN","Homo sapiens","9606","exploratory","Norm Fit >= 0.7 AND zscore >= 0","2D_submission","1","FALSE","1c5o_v","1","0.7429","1.3435","1.3435","0.7429","1.3435","","","Prothrombin","Bilobalide","73581","reverse_pharmacophore_prediction","human_UniProt_verified",""
"CDK2","P24941","CDK2_HUMAN","Homo sapiens","9606","exploratory","Norm Fit >= 0.7 AND zscore >= 0","2D_submission","1","FALSE","1jsv_v","1","0.7381","1.22633","1.22633","0.7381","1.22633","","","Cell division protein kinase 2","Bilobalide","73581","reverse_pharmacophore_prediction","human_UniProt_verified",""
"CTSB","P07858","CATB_HUMAN","Homo sapiens","9606","exploratory","Norm Fit >= 0.7 AND zscore >= 0","2D_submission","1","FALSE","1csb_v","1","0.738","1.39803","1.39803","0.738","1.39803","","","Cathepsin B","Bilobalide","73581","reverse_pharmacophore_prediction","human_UniProt_verified",""
"CA2","P00918","CAH2_HUMAN","Homo sapiens","9606","exploratory","Norm Fit >= 0.7 AND zscore >= 0","3D_submission","1","FALSE","2pow_v","1","0.7312","1.32481","1.32481","","","0.7312","1.32481","Carbonic anhydrase 2","Bilobalide","73581","reverse_pharmacophore_prediction","human_UniProt_verified",""
"AKR1B1","P15121","ALDR_HUMAN","Homo sapiens","9606","exploratory","Norm Fit >= 0.7 AND zscore >= 0","2D_submission","1","FALSE","1az1_v","1","0.7264","1.30308","1.30308","0.7264","1.30308","","","Aldose reductase","Bilobalide","73581","reverse_pharmacophore_prediction","human_UniProt_verified",""
"SRC","P12931","SRC_HUMAN","Homo sapiens","9606","exploratory","Norm Fit >= 0.7 AND zscore >= 0","3D_submission","1","FALSE","1o4f_v","1","0.7238","0.748216","0.748216","","","0.7238","0.748216","Proto-oncogene tyrosine-protein kinase Src","Bilobalide","73581","reverse_pharmacophore_prediction","human_UniProt_verified",""
"PDE5A","O76074","PDE5A_HUMAN","Homo sapiens","9606","exploratory","Norm Fit >= 0.7 AND zscore >= 0","2D_submission","1","FALSE","1rkp_v","1","0.7215","1.15794","1.15794","0.7215","1.15794","","","cGMP-specific 3,5-cyclic phosphodiesterase","Bilobalide","73581","reverse_pharmacophore_prediction","human_UniProt_verified",""
"DPYD","Q12882","DPYD_HUMAN","Homo sapiens","9606","exploratory","Norm Fit >= 0.7 AND zscore >= 0","3D_submission","1","FALSE","1gte_v","1","0.712","1.96838","1.96838","","","0.712","1.96838","Dihydropyrimidine dehydrogenase [NADP+]","Bilobalide","73581","reverse_pharmacophore_prediction","human_UniProt_verified",""
"CFD","P00746","CFAD_HUMAN","Homo sapiens","9606","exploratory","Norm Fit >= 0.7 AND zscore >= 0","2D_submission","1","FALSE","1dic_v","1","0.71","0.959575","0.959575","0.71","0.959575","","","Complement factor D","Bilobalide","73581","reverse_pharmacophore_prediction","human_UniProt_verified",""
"LGALS7","P47929","LEG7_HUMAN","Homo sapiens","9606","exploratory","Norm Fit >= 0.7 AND zscore >= 0","2D_submission;3D_submission","2","TRUE","5gal_v","2","0.7099","1.05983","1.05983","0.7099","1.05983","0.707","1.02845","Galectin-7","Bilobalide","73581","reverse_pharmacophore_prediction","human_UniProt_verified","Shared UniProt accession also maps to: LGALS7; LGALS7B"
