Search_Rank,MIM_Raw,Gene_MIM_ID,Entrez_Gene_ID,Title,Title_Symbol_Candidate,Gene_Phenotype_Link_Status,Evidence_Layer,Gene_Target_Status,Decision_Reason
1,*107741,107741,348,APOLIPOPROTEIN E; APOE,APOE,not_verified_for_AIS,,Exclude_from_gene_set,仅为MIM Match全文搜索命中的基因条目，不能自动解释为AIS疾病基因
2,*612839,612839,54790,TET METHYLCYTOSINE DIOXYGENASE 2; TET2,TET2,not_verified_for_AIS,,Exclude_from_gene_set,仅为MIM Match全文搜索命中的基因条目，不能自动解释为AIS疾病基因
7,*600308,600308,361,AQUAPORIN 4; AQP4,AQP4,not_verified_for_AIS,,Exclude_from_gene_set,仅为MIM Match全文搜索命中的基因条目，不能自动解释为AIS疾病基因
12,*106180,106180,1636,ANGIOTENSIN I-CONVERTING ENZYME; ACE,ACE,not_verified_for_AIS,,Exclude_from_gene_set,仅为MIM Match全文搜索命中的基因条目，不能自动解释为AIS疾病基因
15,*612276,612276,79693,YRDC DOMAIN-CONTAINING PROTEIN; YRDC,YRDC,not_verified_for_AIS,,Exclude_from_gene_set,仅为MIM Match全文搜索命中的基因条目，不能自动解释为AIS疾病基因
25,*603350,603350,4939,"2-PRIME,5-PRIME-OLIGOADENYLATE SYNTHETASE 2; OAS2",OAS2,not_verified_for_AIS,,Exclude_from_gene_set,仅为MIM Match全文搜索命中的基因条目，不能自动解释为AIS疾病基因
27,*607575,607575,51816,ADENOSINE DEAMINASE 2; ADA2,ADA2,verified_linked_gene,Extended_Etiologic,Extended_target_gene,保留为预设AIS证据记录；是否可产出靶点由gene–phenotype链路字段决定
28,*600276,600276,4854,NOTCH RECEPTOR 3; NOTCH3,NOTCH3,verified_linked_gene,Primary_Adult_Monogenic,Primary_target_gene,保留为预设AIS证据记录；是否可产出靶点由gene–phenotype链路字段决定
29,*163729,163729,4846,NITRIC OXIDE SYNTHASE 3; NOS3,NOS3,verified_linked_gene,Extended_Etiologic,Extended_target_gene,保留为预设AIS证据记录；是否可产出靶点由gene–phenotype链路字段决定
30,*133170,133170,2056,ERYTHROPOIETIN; EPO,EPO,not_verified_for_AIS,,Exclude_from_gene_set,仅为MIM Match全文搜索命中的基因条目，不能自动解释为AIS疾病基因
